leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,11174.5,452.6608369776796,14575.8,163.9585313425323,7942.055999999992,187.50904234196497,35.869687124332685,0.3390983566885121,13754.3,2140.6921544210877,16220.0,763.5894766750578,8961.605999999982,459.8329056950974,41.4044194806017,4.303436644211371
20,12126.0,2614.5857543149486,27282.6,154.2927952519702,14523.017999999904,101.20588935432849,61.9790933571166,1.7224376243127786,14134.4,3433.316252384695,31282.0,2736.7504250276256,16264.39799999991,1380.0363085223523,75.34816836970974,9.647535342237894
30,10637.9,1473.0564935987122,39945.2,246.597197424824,20985.3299999999,55.17859186314247,88.74871178019727,1.9787763686469189,14502.8,2363.8016837289883,46174.1,3151.0494001557995,23832.233999999928,1680.9220625478304,107.48681243354596,8.113309047941945
40,13921.8,1116.1738016794498,52930.8,178.79398448742367,27637.770000000008,110.02649226437946,112.17324153519567,1.3553705136420922,14964.1,2342.7364080872985,64573.0,6885.928163048659,33006.210000000065,3048.956641902372,141.5941152584543,11.437050662109625
50,13203.4,1687.7555246868874,65384.6,182.7817155941908,33661.752000000146,312.5943515804312,137.3678275827442,6.683805187553369,13778.8,2496.977897824132,74239.2,8157.344881216625,37574.21400000029,3725.1878381044826,166.74575565549407,5.543291213229539
60,13982.2,1676.047320997298,84393.5,12615.410164204377,43301.41200000048,5738.89714553614,169.1448448946568,6.767585661109052,15270.9,1705.8895659189407,91308.7,7955.357231311351,46085.4960000007,3836.1883361692876,204.67965669436563,15.077959122192485
70,14510.1,1796.0873803291915,90953.0,69.53336529241753,46694.37600000075,82.37490006065245,182.87741949722732,7.600558231169268,14134.0,2018.1075844023335,100774.9,5528.337814288204,51146.166000000914,2658.127860950444,242.41753745517317,27.31933325021645
80,13295.7,1619.8943072517623,106192.7,4211.968530271799,54559.78200000103,1988.6014625461682,216.32068341795062,7.292933606478939,15251.1,2435.2351221186013,121164.7,11409.351915083618,61111.122000001706,5476.51667343793,270.6041265169815,22.248870294076387
90,14592.6,1346.0519389021445,116754.0,403.32920108076013,59909.82000000168,360.38441697746566,244.1664752598188,10.104974683804953,14481.4,1618.5832762704001,138547.5,12279.343008574286,69674.83800000233,5456.450467551724,294.5490906413179,21.69826133702418
