leaf_depth,swaps_mean_default,swaps_std_default,depth_mean_default,depth_std_default,latency_mean_default,latency_std_default,error_mean_default,error_std_default,swaps_mean_no_remap,swaps_std_no_remap,depth_mean_no_remap,depth_std_no_remap,latency_mean_no_remap,latency_std_no_remap,error_mean_no_remap,error_std_no_remap,swaps_mean_no_remap_no_error,swaps_std_no_remap_no_error,depth_mean_no_remap_no_error,depth_std_no_remap_no_error,latency_mean_no_remap_no_error,latency_std_no_remap_no_error,error_mean_no_remap_no_error,error_std_no_remap_no_error,swaps_mean_new_line,swaps_std_new_line,depth_mean_new_line,depth_std_new_line,latency_mean_new_line,latency_std_new_line,error_mean_new_line,error_std_new_line
10,3755.4,459.8178866561075,6197.1,386.2306305822988,3307.6379999999904,164.90670829289826,18.268039268684326,0.3572461419778197,8080.2,432.1904929799153,8312.6,234.83478826140274,4395.155999999978,64.84074768230303,20.479179053194525,0.3818918706137485,8117.8,598.1653060261297,8073.5,448.53694261330236,4334.90399999998,217.60301505263698,22.9502954184858,0.19745630332456962,6248.666666666667,97.57219549304669,7058.0,0.0,3827.459999999983,13.509996299037,20.544961712341433,0.5812501559277419
20,3611.9,301.5340224032218,12224.2,783.1382452103275,6345.623999999964,360.47320588359946,33.9257921170149,0.25495052051868294,8220.9,327.27407813974844,14644.6,830.6395394179382,7597.571999999969,391.9659687268783,36.25443011754306,0.5326446318245166,7988.5,335.42816750469177,15113.4,482.3486982118503,7870.661999999973,240.87418300847008,41.928559361839305,0.9581004846809812,6820.0,277.2417717444469,16877.666666666668,3691.8914303285424,8493.779999999959,1681.333489347045,38.02281519022217,0.8838861335979533
30,3626.3,320.6524771635346,18163.2,858.3700056890773,9325.69199999993,416.14125082715884,48.963224629764206,0.5380793429210894,8236.2,499.5604289995578,20936.1,588.0091552575238,10733.453999999912,296.5581352112925,52.09939511150708,0.28665424056244765,8157.0,302.1864766442513,23119.0,1260.5824932237563,11964.011999999915,516.7315897446074,60.32553988739812,1.0089426282561738,6824.0,287.06619445695793,20717.333333333332,555.7610397763888,10723.999999999905,257.5432911182165,54.463438929673295,0.4186444222798418
40,3529.0,737.5929319979507,25492.9,3880.2488307953763,12882.149999999867,1764.4447743695089,65.37143787276145,0.737228425106385,8163.9,644.9820755476686,29889.5,3089.599084023686,15120.137999999832,1352.1020745638796,69.2489912414911,1.2728439089730628,7973.7,237.69964708055883,28426.7,1707.1389353079746,14520.521999999866,805.9640860732961,77.0561657472418,3.1734747913973447,6784.0,287.06619445695793,27458.0,740.4559406203721,14127.09999999991,399.99631398305894,71.34855235782068,0.5843075061008115
50,3775.8,553.1344622542816,31168.1,5167.775847607084,15817.69799999984,2339.5367373990866,80.39323426002997,2.645922189461237,8373.3,634.4766960084331,36883.1,4676.589437471143,18615.257999999838,2099.761288727859,83.27728950097833,2.4488108335764522,7783.6,556.2246149014104,35157.2,1222.341996151468,18240.323999999953,507.9902449456613,96.37352261277559,3.5028772515865643,6784.0,287.06619445695793,34172.333333333336,932.1659365871144,17618.099999999908,505.15427821612434,88.89013685042391,1.5599197194189935
60,3524.1,438.56393173883123,35222.8,911.6779158355324,17805.347999999845,405.59298001814085,95.85224726604991,3.0582297385643415,8140.4,365.1082640045887,42518.6,1552.81122842125,21401.41199999995,804.5779817022488,100.15656135282111,2.4064759105591595,8950.0,910.2413599333603,44331.7,2930.7862445274154,22715.25599999994,1169.7935032133287,118.46781358797428,4.829230733917529,6824.0,287.06619445695793,41144.0,1089.9779814289827,20993.63999999998,616.203715665545,105.07893612892623,1.398553290031866
70,3807.6,344.8008120640089,43286.5,7306.595289341147,21726.509999999853,3350.2208815839053,113.76109290263632,1.4205256003061233,8417.9,329.67979414375185,55237.4,5928.818510743378,27515.280000000115,2785.8791118066574,117.39142008911263,2.1022319296127234,8401.2,574.1133840782478,53396.7,4024.588620799231,27032.76000000008,1735.7762044688366,137.96062022086977,5.540335784996569,6770.666666666667,276.18894498754526,47599.0,1258.9579023938807,24185.380000000037,795.6968591115699,121.85061597527994,2.284043528348057
80,3757.6,692.5097993690936,46371.6,1212.8548690314651,23480.327999999885,536.7489624023702,127.38347391775832,2.82473464693317,8182.0,616.6140518094676,55848.5,2019.9489680022448,28060.080000000056,830.6672763508384,131.780170077498,2.3912846005731927,7555.3,484.9481186454667,60338.2,3372.416238973014,30959.333999999963,1407.2533225969237,154.4343278775186,6.607347159384978,6790.666666666667,289.4483258430308,54350.666666666664,1451.9921946530342,27784.960000000017,1147.4048514800672,139.0387532987127,1.9654233516036483
90,3248.7,364.1025649151318,52319.9,1418.7514424858061,26303.765999999996,679.3332445567968,143.73172054397187,2.4116869230235842,7881.7,306.7087108859697,63013.2,1486.0273513259738,31555.40400000029,672.9581289797954,149.06075345075794,2.2765391662529,8802.2,456.4120458046166,71262.7,2784.8993618361787,35818.14000000085,1205.3654964368934,175.9881365480442,3.8396659336034507,6790.666666666667,276.18894498754526,61055.333333333336,1626.587019908044,30735.20000000008,971.3761003854529,154.08037585021495,1.5898602862138833
