folder,sabre_mean_swaps,sabre_std_swaps,sabre_mean_depth,sabre_std_depth,sabre_mean_latency,sabre_std_latency,sabre_mean_error,sabre_std_error,sabre_n,qroqi_mean_swaps,qroqi_std_swaps,qroqi_mean_depth,qroqi_std_depth,qroqi_mean_latency,qroqi_std_latency,qroqi_mean_error,qroqi_std_error,qroqi_n
1_1,2380.0,35.59026084010437,813.3333333333334,49.21607686744467,50280.0,2835.630441365729,1.7692454918475307,0.04567506038160033,3,410.3333333333333,52.46797965320267,328.6666666666667,60.53832578531462,20269.333333333332,3801.4233591584557,0.5110634033691525,0.028101893629553162,3
1_2,2180.0,89.81462390204986,774.3333333333334,63.42099196813483,47838.666666666664,3607.7817130321077,1.5805212804297377,0.07195158451544881,3,477.0,51.62040940041707,335.6666666666667,51.91231924012728,20965.333333333332,3314.4118968864177,0.5229123441536216,0.0585071536372674,3
1_3,2446.6666666666665,67.9869268479038,869.3333333333334,56.617625838210095,53985.333333333336,2666.1499499382167,1.731817980049585,0.14746970677217866,3,509.6666666666667,42.129430198958175,334.6666666666667,40.549010126293126,20273.333333333332,2349.625407497024,0.647560129582864,0.009908980471662464,3
1_4,2570.0,155.13435037626795,896.0,43.20493798938573,55912.0,2367.50219992858,2.050570884529276,0.2648368668322732,3,522.6666666666666,13.097921802925667,374.3333333333333,50.46671070011289,23193.333333333332,3361.1495388069575,0.6182793099173317,0.07843814923744694,3
1_5,2500.0,149.8888477061141,962.6666666666666,92.58629608220767,59398.666666666664,5866.454541619571,1.8213614629990975,0.1932697832472086,3,530.0,13.9522996909709,376.3333333333333,47.72374205314956,23470.666666666668,2776.974532752426,0.6509677616805957,0.042452728410671575,3
2_1,11450.0,742.7426651719064,4314.333333333333,232.13980461973532,272125.3333333333,13562.284304480405,8.60282065188017,1.9891195075649895,3,2281.6666666666665,214.10018423366404,1512.6666666666667,10.274023338281628,92665.33333333333,1438.363267359428,3.0861714839506993,0.34749099236940495,3
2_2,10766.666666666666,572.0334100576838,3406.0,108.01234497346434,206958.66666666666,11311.449460121761,7.629391184605379,0.24289490247291007,3,1933.3333333333333,78.9866374071519,1434.3333333333333,56.617625838210095,89278.66666666667,5612.850335514825,2.6926996417118447,0.5076992465997314,3
2_3,11550.0,308.2207001484488,4097.666666666667,171.18865486811782,253592.0,11631.279665912374,8.069854824984107,0.5814762016222433,3,2421.6666666666665,155.15225496982706,1721.0,247.52104287649297,102505.33333333333,12079.805002105328,3.223803483654099,0.6737110318686895,3
2_4,11866.666666666666,224.84562605386736,3956.0,402.077936060494,250192.0,25194.179221928756,9.094201138623639,0.8960813944733443,3,2430.0,155.08062419270823,1691.0,222.97234507146098,101632.0,12314.12197438372,2.8247611278507523,0.4392882935891898,3
2_5,11783.333333333334,205.48046676563254,4272.666666666667,155.90239111558088,266025.3333333333,11158.355115736767,9.374248024613204,1.5660107514455095,3,2588.3333333333335,115.85431464655179,1696.0,244.16524459199076,104398.66666666667,16673.542581653794,3.6784326163599705,0.45997859605539176,3
