leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,3755.4,459.8178866561075,6197.1,386.2306305822988,3307.6379999999904,164.90670829289826,18.268039268684326,0.3572461419778197,7291.6,232.4522412119196,7585.5,435.49110209050195,4133.939999999982,211.52131051031077,22.06409663392721,0.5163559164747991
20,3611.9,301.5340224032218,12224.2,783.1382452103275,6345.623999999964,360.47320588359946,33.9257921170149,0.25495052051868294,7359.2,413.78572017678675,14426.3,1084.342714376881,7573.685999999974,536.1950909510377,40.76577679540074,1.3495005057274383
30,3626.3,320.6524771635346,18163.2,858.3700056890773,9325.69199999993,416.14125082715884,48.963224629764206,0.5380793429210894,7504.1,346.5305662323791,21532.8,994.8444657890557,11155.121999999927,475.3183767118642,59.76670966361896,1.6322516846036217
40,3529.0,737.5929319979507,25492.9,3880.2488307953763,12882.149999999867,1764.4447743695089,65.37143787276145,0.737228425106385,7598.5,340.7512126007609,30058.0,1176.145588115878,15359.729999999812,644.7667071119564,78.39467200378492,1.9298325714189781
50,3775.8,553.1344622542816,31168.1,5167.775847607084,15817.69799999984,2339.5367373990866,80.39323426002997,2.645922189461237,7462.6,353.42992390445835,36129.3,2247.140456965994,18540.2999999999,1031.9648986278594,96.53788751704218,2.249849779280786
60,3524.1,438.56393173883123,35222.8,911.6779158355324,17805.347999999845,405.59298001814085,95.85224726604991,3.0582297385643415,7492.0,306.9386475068484,44671.0,3477.736620274744,22699.517999999945,1670.0643764957413,115.1592953317303,4.6253106133177315
70,3807.6,344.8008120640089,43286.5,7306.595289341147,21726.509999999853,3350.2208815839053,113.76109290263632,1.4205256003061233,7680.6,305.9201784053407,51849.2,1777.7789388885092,26418.95399999999,805.8044797343883,135.50200482602884,5.432893912757751
80,3757.6,692.5097993690936,46371.6,1212.8548690314651,23480.327999999885,536.7489624023702,127.38347391775832,2.82473464693317,7666.4,366.22646302830464,59806.5,4998.396459532464,30411.93600000024,2342.6667467996454,153.33070049002077,2.1602791092976283
90,3248.7,364.1025649151318,52319.9,1418.7514424858061,26303.765999999996,679.3332445567968,143.73172054397187,2.4116869230235842,7574.1,351.6514846643856,66602.5,5134.2647261100365,33614.68200000049,2208.4583873919178,172.62490668879636,6.014971612554741
