leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,1153.9,221.11407312365571,5871.5,25.7347581643539,3062.837999999993,29.165583141778562,14.238360984059302,0.4536593970617685,3020.5,183.94458706662488,6936.0,438.0887784202853,3618.2039999999843,222.87910660265678,17.135988340292318,0.6050779041887537
20,1692.8,98.39354089008533,11500.2,62.922880487854954,6008.291999999972,13.24177631588768,27.129006701948015,0.7212554956977862,3203.4,174.4223482113332,14041.5,593.8952863183132,7063.685999999971,307.8003254709138,32.32147190400839,0.9623910820337301
30,1415.4,4.325634186002227,17121.2,1.398411797560034,8743.991999999947,0.9229517863894646,38.54042571136321,0.006831638154751815,3241.1,211.92789654345495,20397.5,1213.7276145092123,10232.849999999922,598.0901579193379,46.61269967114161,2.2290001275009277
40,1480.9,338.799662206312,23430.5,2040.8504899238023,11792.381999999887,917.104374888674,53.75872196927418,1.7511046289058771,3243.4,247.5669157576953,27603.4,1994.9381054169187,13656.149999999849,874.7697915451645,61.77633281441102,2.0956868803362068
50,1813.8,482.8309573063158,29011.3,762.4947431512777,14621.423999999859,355.4652379065917,67.32039824916856,2.71408139190079,3280.9,326.58517691067635,33476.6,2864.928511809288,16718.30399999984,1338.9652808643052,73.9870638926749,4.413260250988422
60,1478.2,292.89846553218933,38254.3,5276.279772086895,19012.12799999986,2496.186998411807,79.25249668485861,4.213229349380464,3236.6,119.01372469873661,41529.3,1721.2236635603163,20569.487999999958,786.6956655785405,93.60686982069608,3.523562976416298
70,1422.3,174.89873260451793,41893.8,1510.4796000682104,20662.787999999797,682.5290855633922,92.57427395359113,1.801380398344258,3274.8,295.1665443252145,47509.1,3680.9322928362117,23513.261999999995,1746.4230184122628,106.51825747159668,4.468329179488473
80,1896.3,123.04565548337467,48982.8,1670.5213956526673,24149.327999999892,779.3872104673537,98.52380628784583,3.98078895590151,3280.5,209.56582100460324,55151.4,2770.071407021848,27167.5920000001,1358.5613834641988,117.20776756540825,4.086282619329937
90,1622.0,188.03250310045394,50916.6,150.8009725874916,25275.455999999936,171.78799306120754,115.67631747423086,1.7697708627779678,3305.5,285.0509701010603,60939.3,3994.255153759376,29976.660000000244,1805.6704013746337,136.01934749141054,5.619664487825848
