leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,3928.6,249.43144237333928,6328.1,375.96762567481204,3376.6379999999904,154.11930197090572,15.241677626772804,0.24655960102213262,7291.6,232.45224121191956,7585.5,435.49110209050195,4133.939999999982,211.52131051031043,17.166581468010218,0.22598320969356767
20,3741.8,346.5447862670695,11668.9,9.29097531060244,6071.4899999999725,20.36041748098468,28.77348001103946,0.42378212285975,7359.2,413.7857201767867,14426.3,1084.342714376881,7573.685999999974,536.1950909510376,31.820529746319437,0.2659698678554165
30,3743.7,780.3981960796964,18070.7,1160.535513363455,9340.99799999993,530.3687653321879,42.1156234997596,0.4281769096889372,7504.1,346.53056623237933,21532.8,994.8444657890556,11155.121999999927,475.3183767118647,46.253996580345614,0.6819355562477086
40,3453.6,580.9561467481385,23697.1,767.18409350907,12096.035999999865,304.38488556427296,56.02871743428832,0.5382035703032577,7598.5,340.75121260076077,30058.0,1176.1455881158781,15359.729999999812,644.7667071119565,60.8515465907357,0.7562176229852161
50,4695.6,926.2902352934527,30608.6,849.3727358730353,15541.733999999773,391.08878321933935,68.75404334396163,1.1529726054265304,7462.6,353.42992390445824,36129.3,2247.140456965994,18540.2999999999,1031.964898627859,75.68583162195273,0.803565620068817
60,4356.8,458.4235789941197,38002.9,1828.491451686031,19186.091999999782,856.8342933379872,82.39200575216344,1.3201581726289626,7492.0,306.93864750684844,44671.0,3477.736620274745,22699.517999999945,1670.0643764957415,89.48541572093832,2.156330661635439
70,4036.3,463.63396721503864,41688.3,1367.7857247715701,21185.83199999984,558.015520070925,96.25149943396201,1.012129994282127,7680.6,305.9201784053408,51849.2,1777.7789388885099,26418.95399999999,805.8044797343885,105.23834500104977,1.1497633524365842
80,4230.2,674.4515137831959,46772.2,1330.595171760033,23675.73599999987,585.1967157802509,109.6219514528791,1.2274352413672964,7666.4,366.2264630283047,59806.5,4998.396459532463,30411.93600000024,2342.666746799646,119.66712026169016,1.6965112363204584
90,3154.0,313.9508100182433,53296.2,1119.3653757573732,26740.476000000024,535.4641277994128,124.43117525102484,1.454666654608183,7574.1,351.6514846643856,66602.5,5134.2647261100365,33614.68200000049,2208.4583873919196,132.67092975988436,2.088629441540647
