leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,1528.7,323.29142340069035,5993.4,150.238477095583,359378.4,9178.952581252881,5.9782514682686525,0.21945273236481283,2870.5,87.40232643738187,6955.0,302.72503108339833,413462.8,17018.290087758847,10.096552145040778,2.921433641529587
20,1606.2,189.9606976894607,11492.8,71.03176128402784,680496.8,2452.5577034779235,11.926909987856916,1.2919853315537273,2971.6,190.2934575859086,13253.4,668.478404870178,781275.6,39514.239951355936,21.116746074765352,5.325105656077219
30,2086.3,229.8874362233251,17155.4,57.804651869705644,1002844.0,1861.4536732827717,15.727070157326423,0.2450340466742833,3058.6,211.65023558272313,19374.5,700.6373685596724,1130615.6,40650.93892369248,22.742271334168606,4.259192742961063
40,2007.8,377.1565545853164,22758.4,52.15617572892627,1331516.8,1413.5858893844004,19.573472644139986,1.0350054505539796,3125.9,353.8886987615048,26550.4,2464.5434195133726,1554368.8,136818.05356896436,40.74721075572433,16.184015631111762
50,1964.0,341.11549038086474,31144.0,5195.449761302886,1811127.2,289544.1714683424,27.30875093169672,1.0065707417382386,3015.6,195.84188633804678,32334.6,1544.1095384287564,1875370.0,85670.01818087301,40.04498563690349,11.043825311295974
60,1936.4,155.27409456971384,34155.5,1.0801234497350176,1998766.0,1138.446895262713,29.30861075773373,0.7015799455426196,3237.4,249.89606728487033,39770.6,3374.3598635724807,2311656.4,192317.6880194735,62.74595381266656,19.3746596537149
70,1727.8,468.8083711804738,39729.7,210.93340181203905,2310809.2,14325.869194494739,35.22944164308116,0.27770112778029704,3193.5,294.07113651858685,46281.0,1179.499046205635,2684715.2,68552.82114107345,52.10039543520819,13.796593671720002
80,2033.0,114.76449315397551,46981.1,1104.2369361287963,2730208.4,59024.355062032555,42.79048668394447,4.52674907106447,3156.2,245.45051549254393,52165.5,2815.7710706345115,3016031.6,150290.0591605742,58.651956876063124,16.55680396217816
90,1940.0,118.92854997854809,53689.3,117.23295896063807,3121121.2,6418.408539332581,42.80509839269939,0.48250084950671374,3145.6,231.54130900938125,58715.9,5076.800292616513,3410584.4,288079.2467727508,91.29782583532409,24.291036069675314
