leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,14111.666666666666,1173.7403176739451,8174.666666666667,889.894563042911,999489.3333333327,44855.1718870111,35.497091468048026,2.297682034963726,12042.666666666666,244.67597620799071,7317.0,256.5014619841376,1133133.5999999985,25351.67474704545,40.48658979328251,2.11442167244489
20,16389.666666666668,682.7988966989715,17529.0,29.512709126747414,2130276.0,13641.801640545871,70.96062190983686,1.4408074353201532,12034.666666666666,162.14910833345107,14142.0,1215.7520306378271,2245038.1333333333,100448.49102566707,75.03774434484457,5.3474700724357564
30,14122.333333333334,1351.260275939959,22454.333333333332,3324.094212463499,3158073.6000000145,33496.89701211145,104.12093137181682,12.365737419001968,11969.666666666666,230.79066994428828,20368.666666666668,475.44645685222383,3195665.866666679,142994.80048356313,113.14188788290907,3.400735249544653
40,15569.0,1005.5998210023707,34318.666666666664,47.52192476461177,3953326.933333347,67399.82226366574,124.2489822748064,18.984071457739155,11953.0,65.09224224129939,26695.333333333332,1025.725271860518,4361581.333333354,363840.69758626097,151.4258400499651,15.248373330574923
50,16650.0,1034.9014445830096,42770.333333333336,28.86751345948234,4973603.466666686,3274.4706890330367,162.3089647473674,3.097907430271042,12247.333333333334,339.46182897836013,33820.333333333336,838.5298643061763,5284734.133333369,267218.7403300392,188.75269596664398,13.29940245865676
60,14343.333333333334,310.68687344870796,41881.0,145.7703673590761,6240477.866666704,87433.00100565034,166.50401621598124,46.58962614215417,12308.666666666666,149.14869537925364,40913.666666666664,1010.1466890176551,6482197.6000000425,251899.03549351374,221.3753908293677,25.630807257176397
70,15667.666666666666,1096.0991439342213,56586.333333333336,5102.917433521077,7169090.666666725,78394.04511398374,201.80371543030148,44.32381780630017,12139.666666666666,387.59815961035406,47569.333333333336,1176.9810250523735,6703032.266666674,3132930.0024513793,226.2135884625749,112.82427576213044
80,18169.0,564.4847207852486,68023.0,4.0,8200220.533333391,114338.44731031227,215.54757295695217,53.128243340183445,11871.333333333334,182.61799838278108,55946.0,3535.845584863683,8397771.200000048,221539.1548684563,288.1830586992573,8.840644957115472
90,18202.666666666668,430.6115805843286,76407.33333333333,8.144527815244993,9273833.333333338,89988.7916872624,308.6386106991203,17.708003441920656,12096.333333333334,240.60825699325707,61021.0,1511.2779360527963,9630860.79999998,779641.9592159991,330.87587641945953,22.382483946521464
