leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,4648.4,555.9129028503976,7354.1,1064.76595759089,437407.6,58148.4951008097,7.375138555564658,0.6905360302332123,7134.0,324.7440017408585,7823.0,498.8121445549974,470063.2,26337.866938012354,9.737216196481386,1.5802428929760157
20,4843.5,286.3945413818729,13560.6,1663.0673267590016,801771.6,88356.69480162022,12.448902535422281,0.6634975777552051,7498.2,350.18242864731707,15298.1,695.6411031878753,901065.2,35483.76390156803,16.154357411330338,2.298331916571112
30,5471.5,863.6477226791537,22648.0,3427.634007429745,1328853.6,187607.30809930264,19.652810209509788,1.974106418502158,7335.9,236.54712943606913,22949.0,1347.5489683949227,1353918.8,71286.0907498791,26.81540839004319,4.361969607535675
40,4739.4,325.08638168270835,26236.2,1915.9625257295606,1541839.2,107537.1249060838,23.846505733378628,2.817786072741356,7469.4,284.75728456197766,30819.8,2838.7262323482737,1805956.0,158182.65263506823,37.50743361849418,4.295043026560255
50,4913.2,863.3553150354721,35648.1,5241.232307387261,2081321.6,291769.0910273625,27.944144604452287,1.7557985093365862,7450.3,373.3169788084473,37386.1,2987.1581236278003,2190975.2,167831.52611592377,42.32957674784277,8.313678297001761
60,4368.0,537.689088187175,37547.3,5664.740850206654,2200058.4,311521.22976530646,31.443115767411534,2.1621868294529336,7419.6,289.5437790732171,44542.6,2275.38632617262,2598734.0,126683.97630850294,55.808922715963206,7.404991576939868
70,4597.4,840.0599449510203,50416.3,7886.247538172596,2934386.4,435900.46013668965,37.96864664501584,2.6932265333824166,7654.4,352.6494009636197,53311.7,2199.809539735455,3107359.6,125388.3118770556,59.16441174699291,11.149732306638072
80,5223.3,433.0778862462912,51055.1,5177.900721120266,2979025.2,287264.04944765824,41.38184082007017,4.495337099478128,7534.9,417.55171336414526,60130.1,2885.333658733807,3502191.2,160754.9940422104,72.30777816300261,12.98836114636141
90,5194.7,411.25608404820804,65000.3,9311.809969066164,3783203.2,527235.6852458132,45.06021943845103,1.0343646520374365,7734.4,586.0662078639238,67628.8,4055.45508612234,3936682.4,229672.22349310477,70.37339245658374,12.406247049154132
