leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,2832.1,403.2422624455703,6000.0,76.71158104658416,3214.559999999993,41.60480741452801,12.581275052046749,0.0821235741638093,4373.2,278.99295092648237,7163.0,405.2403950469125,3775.247999999984,191.41967046257014,14.229691071429196,0.20316206222788216
20,2690.9,279.7917678083709,12369.6,569.790643813829,6437.549999999964,278.19378174214614,23.523801587301058,0.5023831523906728,4675.4,318.5195615831328,14301.3,583.620319880809,7368.719999999965,281.6223826331994,26.420496952093778,0.29310019623289846
30,2892.4,524.7962991061919,17443.6,349.82478153752567,9041.921999999933,118.9073456099217,34.77998028106791,0.7895506352499346,4513.8,179.94863464642106,20738.0,862.2600793521891,10620.287999999917,401.4357301486693,38.43490378929242,0.4894040977195809
40,2699.7,422.5509962648821,22861.9,29.80473489602342,11806.775999999893,38.807867243633936,45.87486169465815,0.3014001302686689,4541.8,293.4616386060252,27683.7,1434.3510379262116,14093.849999999842,716.5620108545934,50.594354964649426,0.6081240343255299
50,3314.0,340.0330049339982,30015.8,44.85978154204523,15122.555999999797,28.401749241904103,54.83370082591883,0.9647926127473057,4663.3,187.80430121686658,34633.0,2148.0634689567883,17604.08999999986,1101.45126964387,62.89983145424986,1.1182928534648773
60,2678.5,284.8622474109197,35055.1,981.55776985135,18006.371999999865,458.18569405865856,68.30904060451014,1.288217086960443,4654.2,258.26162445602847,40609.6,2448.6085481804193,20444.50799999988,1062.4506892275326,75.07998656719954,1.3003871202529012
70,2541.5,128.92051814975,39958.5,651.2886798067693,20419.409999999807,283.72171753324403,78.82388349702748,0.2912781788353521,4673.4,219.2761830305436,50321.4,2542.413123174299,25415.928000000047,1171.763508836182,86.90214965696245,1.395683631657662
80,3151.4,123.9374394155731,49908.2,2754.2481046961293,25156.92599999993,1376.2648188339172,89.82630004091239,1.4964058690434185,4612.5,258.8376797231123,55903.1,3706.79347654786,28024.00800000011,1722.9669108373466,98.4767604610657,2.049635137242523
90,2664.2,165.773473283407,52650.0,1407.342017974151,26510.51399999996,628.2701485507946,102.74834359842309,1.3713766092199704,4731.6,453.84828595761684,63345.9,4375.311911420969,31774.542000000343,1970.7732297859259,110.13730810431014,1.4279225145713077
