leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,2512.6,403.5327881487589,6087.7,148.82207870847364,3268.2119999999927,51.464937967513436,13.751826164735245,0.36298370244372197,4373.2,278.99295092648237,7163.0,405.2403950469125,3775.247999999984,191.41967046257014,17.10865179980133,1.0730879192188494
20,2660.9,271.87883330630945,12369.1,568.1806148674126,6433.919999999964,277.8769785354605,24.549557653426454,0.8138885279001113,4675.4,318.5195615831327,14301.3,583.6203198808091,7368.719999999965,281.6223826331994,31.40804842555654,0.8429664773522761
30,2971.9,318.48790313675096,18417.8,1939.8561115024313,9430.571999999924,935.7386129897417,36.65463621802876,1.1658490139214714,4513.8,179.94863464642103,20738.0,862.2600793521897,10620.287999999917,401.4357301486688,46.85206964593159,3.729839611928615
40,2681.8,362.7970966440241,23447.4,610.5951923237598,12042.707999999886,266.5435886304401,47.75371203412978,0.9451302215079773,4541.8,293.4616386060249,27683.7,1434.3510379262116,14093.849999999842,716.5620108545937,63.03906794585121,4.748342685466684
50,2812.3,189.67167538787766,29625.0,1603.089239908718,15083.44799999981,633.3464680883234,59.07798693601868,1.3491754304385113,4663.3,187.80430121686652,34633.0,2148.0634689567873,17604.08999999986,1101.4512696438708,75.84251773510042,5.516058147596044
60,2632.9,320.3000156103649,35056.2,995.1310131501947,18002.363999999863,464.86209585210827,72.18400675969512,2.5132411405945434,4654.2,258.26162445602847,40609.6,2448.608548180419,20444.50799999988,1062.450689227533,90.52129715126685,7.170059288253778
70,2505.5,126.30672543015625,39958.8,653.2751334621589,20419.60799999981,285.1122919833755,81.07603644191111,2.595440275986372,4673.4,219.27618303054356,50321.4,2542.4131231742986,25415.928000000047,1171.7635088361817,104.50538809888901,7.945830896751402
80,3036.6,190.94804412602804,49589.1,3134.5151122444595,24799.9919999999,1379.8629627032785,91.9980678544106,1.9774546798086867,4612.5,258.83767972311216,55903.1,3706.793476547861,28024.00800000011,1722.966910837346,117.56885174796336,9.825197597128998
90,2635.0,105.10100961561785,52647.2,1409.2961836794052,26504.303999999956,634.058215749975,110.39218636167259,2.123686195575334,4731.6,453.84828595761684,63345.9,4375.31191142097,31774.542000000343,1970.7732297859275,131.02789268379794,8.93918716288806
