leaf_depth,swaps_mean_default,swaps_std_default,depth_mean_default,depth_std_default,latency_mean_default,latency_std_default,error_mean_default,error_std_default,swaps_mean_no_remap,swaps_std_no_remap,depth_mean_no_remap,depth_std_no_remap,latency_mean_no_remap,latency_std_no_remap,error_mean_no_remap,error_std_no_remap,swaps_mean_no_remap_no_error,swaps_std_no_remap_no_error,depth_mean_no_remap_no_error,depth_std_no_remap_no_error,latency_mean_no_remap_no_error,latency_std_no_remap_no_error,error_mean_no_remap_no_error,error_std_no_remap_no_error,swaps_mean_reversal_sabre,swaps_std_reversal_sabre,depth_mean_reversal_sabre,depth_std_reversal_sabre,latency_mean_reversal_sabre,latency_std_reversal_sabre,error_mean_reversal_sabre,error_std_reversal_sabre
10,3755.4,459.8178866561075,6197.1,386.2306305822988,3307.6379999999904,164.90670829289826,18.268039268684326,0.3572461419778197,8080.2,432.1904929799153,8312.6,234.83478826140274,4395.155999999978,64.84074768230303,20.479179053194525,0.3818918706137485,8117.8,598.1653060261297,8073.5,448.53694261330236,4334.90399999998,217.60301505263698,22.9502954184858,0.19745630332456962,7777.7,401.1198352390744,7781.0,290.2098857340623,4208.8079999999845,139.10344294804275,22.639093780397417,0.26759696208559464
20,3611.9,301.5340224032218,12224.2,783.1382452103275,6345.623999999964,360.47320588359946,33.9257921170149,0.25495052051868294,8220.9,327.27407813974844,14644.6,830.6395394179382,7597.571999999969,391.9659687268783,36.25443011754306,0.5326446318245166,7988.5,335.42816750469177,15113.4,482.3486982118503,7870.661999999973,240.87418300847008,41.928559361839305,0.9581004846809812,7900.8,577.4624182095703,14984.7,901.7119581970483,7801.655999999974,432.48948306287946,41.016168653255136,1.27535566618523
30,3626.3,320.6524771635346,18163.2,858.3700056890773,9325.69199999993,416.14125082715884,48.963224629764206,0.5380793429210894,8236.2,499.5604289995578,20936.1,588.0091552575238,10733.453999999912,296.5581352112925,52.09939511150708,0.28665424056244765,8157.0,302.1864766442513,23119.0,1260.5824932237563,11964.011999999915,516.7315897446074,60.32553988739812,1.0089426282561738,7999.3,469.8505790851669,23986.9,2713.2086560217062,12280.079999999878,1199.4453794983403,59.354959504962096,1.6164025320714215
40,3529.0,737.5929319979507,25492.9,3880.2488307953763,12882.149999999867,1764.4447743695089,65.37143787276145,0.737228425106385,8163.9,644.9820755476686,29889.5,3089.599084023686,15120.137999999832,1352.1020745638796,69.2489912414911,1.2728439089730628,7973.7,237.69964708055883,28426.7,1707.1389353079746,14520.521999999866,805.9640860732961,77.0561657472418,3.1734747913973447,7999.3,469.85057908516694,31738.8,3595.487999640043,16186.769999999879,1607.2254251970617,77.59517061748949,2.3001191342055356
50,3775.8,553.1344622542816,31168.1,5167.775847607084,15817.69799999984,2339.5367373990866,80.39323426002997,2.645922189461237,8373.3,634.4766960084331,36883.1,4676.589437471143,18615.257999999838,2099.761288727859,83.27728950097833,2.4488108335764522,7783.6,556.2246149014104,35157.2,1222.341996151468,18240.323999999953,507.9902449456613,96.37352261277559,3.5028772515865643,7999.3,469.8505790851669,39505.6,4498.1474754737765,20219.969999999947,1932.23080324271,96.0207527378778,2.6593831002688515
60,3524.1,438.56393173883123,35222.8,911.6779158355324,17805.347999999845,405.59298001814085,95.85224726604991,3.0582297385643415,8140.4,365.1082640045887,42518.6,1552.81122842125,21401.41199999995,804.5779817022488,100.15656135282111,2.4064759105591595,8950.0,910.2413599333603,44331.7,2930.7862445274154,22715.25599999994,1169.7935032133287,118.46781358797428,4.829230733917529,7999.3,469.8505790851669,47278.1,5399.019014804654,24087.28200000003,2368.5046354272035,114.3633737377226,3.23708549677323
70,3807.6,344.8008120640089,43286.5,7306.595289341147,21726.509999999853,3350.2208815839053,113.76109290263632,1.4205256003061233,8417.9,329.67979414375185,55237.4,5928.818510743378,27515.280000000115,2785.8791118066574,117.39142008911263,2.1022319296127234,8401.2,574.1133840782478,53396.7,4024.588620799231,27032.76000000008,1735.7762044688366,137.96062022086977,5.540335784996569,7999.3,469.85057908516677,55017.9,6282.815654182799,27857.436000000067,2813.5825645182017,133.04713974896862,3.9011325230431555
80,3757.6,692.5097993690936,46371.6,1212.8548690314651,23480.327999999885,536.7489624023702,127.38347391775832,2.82473464693317,8182.0,616.6140518094676,55848.5,2019.9489680022448,28060.080000000056,830.6672763508384,131.780170077498,2.3912846005731927,7555.3,484.9481186454667,60338.2,3372.416238973014,30959.333999999963,1407.2533225969237,154.4343278775186,6.607347159384978,7999.3,469.85057908516677,62819.1,7183.868850108243,31942.47000000027,3017.0810198273152,151.46205647407814,4.503446111220132
90,3248.7,364.1025649151318,52319.9,1418.7514424858061,26303.765999999996,679.3332445567968,143.73172054397187,2.4116869230235842,7881.7,306.7087108859697,63013.2,1486.0273513259738,31555.40400000029,672.9581289797954,149.06075345075794,2.2765391662529,8802.2,456.4120458046166,71262.7,2784.8993618361787,35818.14000000085,1205.3654964368934,175.9881365480442,3.8396659336034507,8043.8,584.3269252358269,70250.8,7303.897738726753,35399.34000000063,3274.7652858798747,171.62516465177228,6.550520343429893
