leaf_depth,swaps_mean_default,swaps_std_default,depth_mean_default,depth_std_default,latency_mean_default,latency_std_default,error_mean_default,error_std_default,swaps_mean_no_remap,swaps_std_no_remap,depth_mean_no_remap,depth_std_no_remap,latency_mean_no_remap,latency_std_no_remap,error_mean_no_remap,error_std_no_remap,swaps_mean_no_remap_no_error,swaps_std_no_remap_no_error,depth_mean_no_remap_no_error,depth_std_no_remap_no_error,latency_mean_no_remap_no_error,latency_std_no_remap_no_error,error_mean_no_remap_no_error,error_std_no_remap_no_error
10,2512.6,403.5327881487589,6087.7,148.82207870847364,3268.2119999999927,51.464937967513436,13.751826164735245,0.36298370244372197,5463.9,391.81981403020785,7350.4,113.06065235576487,3889.3859999999795,75.40853771291238,15.614499962521439,0.3131807511561635,5105.1,253.569385638987,8111.1,358.84303284614884,4209.227999999979,146.689985479582,17.09899152778334,0.8722689930262354
20,2660.9,271.87883330630945,12369.1,568.1806148674126,6433.919999999964,277.8769785354605,24.549557653426454,0.8138885279001113,5314.5,210.2550039039896,14982.5,682.7537786217098,7681.679999999969,317.64840940889405,26.946357724316783,0.736055809318349,5182.0,195.41352165202002,14187.5,1129.7879102832628,7366.463999999959,452.5435309006149,30.809434863139746,1.3031008790577185
30,2971.9,318.48790313675096,18417.8,1939.8561115024313,9430.571999999924,935.7386129897417,36.65463621802876,1.1658490139214714,6184.1,248.34225934741326,24355.4,1895.2766552669827,12235.871999999892,856.3421049089914,39.900617603903804,1.6121339349400785,5264.1,227.77740108369943,21810.1,941.1788648049605,11016.34799999992,456.9855978474488,46.013988456930974,1.3132490907420336
40,2681.8,362.7970966440241,23447.4,610.5951923237598,12042.707999999886,266.5435886304401,47.75371203412978,0.9451302215079773,5396.3,285.87023085464654,27812.3,1785.7582298719933,14233.877999999833,865.2877667227026,50.7252846011991,0.9097614739996043,4893.1,262.14561263202984,28821.9,1426.7020595298325,14739.91799999984,715.1156936048787,59.103954134521146,1.6223156137332435
50,2812.3,189.67167538787766,29625.0,1603.089239908718,15083.44799999981,633.3464680883234,59.07798693601868,1.3491754304385113,6007.3,399.22732315756593,38118.8,4257.375216413669,19312.691999999864,1851.3297434655276,62.231013309174465,1.6154318618186814,5671.1,513.2156683327412,34703.0,1414.9290520101072,17765.351999999835,677.3036334171213,75.29241760750581,1.9331697718761958
60,2632.9,320.3000156103649,35056.2,995.1310131501947,18002.363999999863,464.86209585210827,72.18400675969512,2.5132411405945434,5562.2,277.6919956434547,44662.7,1511.297533026946,22503.40199999998,700.2529971660448,75.34745817191617,2.1785998232011403,5816.1,297.7991306606219,45096.0,3152.1506238686557,22651.48799999999,1560.342985320885,91.27424107995097,9.214303061213355
70,2505.5,126.30672543015625,39958.8,653.2751334621589,20419.60799999981,285.1122919833755,81.07603644191111,2.595440275986372,5131.9,267.0195373625931,47532.8,1973.460007195484,24106.24800000005,804.1711985889789,84.5454709454213,2.6332727448821003,5387.4,643.6574658413691,50057.0,3611.578202269904,25312.968000000077,1563.9734068839516,102.50100020858142,5.039472055391154
80,3036.6,190.94804412602804,49589.1,3134.5151122444595,24799.9919999999,1379.8629627032785,91.9980678544106,1.9774546798086867,5997.5,204.77914932922258,63848.1,5632.351086949984,31804.71600000022,2586.116342039043,96.64610013585794,2.800014464681117,5012.7,372.06392819872593,59143.7,3023.923171055184,29604.810000000038,1456.3377235381847,121.7282446703507,13.310706018839364
90,2635.0,105.10100961561785,52647.2,1409.2961836794052,26504.303999999956,634.058215749975,110.39218636167259,2.123686195575334,5481.3,187.00805092591904,64731.0,1352.4062506017435,32564.934000000307,617.6498778111813,114.08991580236071,1.0737692433194403,5022.5,297.04853699914656,61730.1,3513.778480654566,31154.99400000016,1675.9809491640765,133.82021904746074,4.968509855979725
