"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"21","458.70568246847466","435.9015784500497","0.00244140625","0.0029296875","0.001953125","2280","0.00018945214401522764","32","0.00018945214401522764","0","0.00018945214401522764","0.00018945214401522764","36:0.0015809243165174347;20:0.0023320055451358235;22:0.0013051088621716667","36:68;20:68;22:68","36:0.0010413829656727158;20:0.002469736848856069;22:0.0011542991815813586","0.00244140625","0.0029296875","Yes"
"22","105.10821654668275","72.36006909646468","0.026123046875","0.0205078125","0.03173828125","2280","0.00024307360433219473","32","0.00024307360433219473","0","0.00024307360433219473","0.00024307360433219473","23:0.0018076770393899988;21:0.0013051088621716667","23:68;21:68","23:0.0013865261099001158;21:0.0011542991815813586","0.026123046875","0.016845703125","Yes"
"23","241.88880997324173","78.20353055217547","0.00439453125","0.00390625","0.0048828125","2280","0.00016717519982764508","32","0.00016717519982764508","0","0.00016717519982764508","0.00016717519982764508","22:0.0018076770393899988;24:0.002152422382893704;16:0.0014901347204764603","22:68;24:68;16:68","22:0.0013865261099001158;24:0.0014192606583419143;16:0.0010107791379112274","0.00439453125","0.0107421875","Yes"
"24","267.29483384278365","69.23030516174417","0.015380859375","0.01708984375","0.013671875","2280","0.00028515394970784737","32","0.00028515394970784737","0","0.00028515394970784737","0.00028515394970784737","23:0.002152422382893704;25:0.0038623994192227007","23:68;25:68","23:0.0014192606583419143;25:0.0025153752482194036","0.015380859375","0.02880859375","Yes"
"25","385.826143822009","22.645828746143838","0.0078125","0.009765625","0.005859375","2280","0.00018511944356301507","32","0.00018511944356301507","0","0.00018511944356301507","0.00018511944356301507","24:0.0038623994192227007;26:0.003899668068984813;37:0.0033093310886539717","24:68;26:68;37:68","24:0.0025153752482194036;26:0.002047815852151774;37:0.0031013025548493056","0.0078125","0.0048828125","Yes"
"26","322.3129716218099","186.18138835320667","0.01123046875","0.0107421875","0.01171875","2280","0.0001826662074169937","32","0.0001826662074169937","0","0.0001826662074169937","0.0001826662074169937","25:0.003899668068984813;27:0.0027738648434516844","25:68;27:68","25:0.002047815852151774;27:0.0013715351919786067","0.01123046875","0.01806640625","Yes"
"27","328.36030122356567","72.52959966703192","0.0068359375","0.00732421875","0.00634765625","2280","0.00012417883712087147","32","0.00012417883712087147","0","0.00012417883712087147","0.00012417883712087147","26:0.0027738648434516844;28:0.001507233378035877;17:0.0014204479500036504","26:68;28:68;17:68","26:0.0013715351919786067;28:0.0012458281114133551;17:0.001423163071584882","0.0068359375","0.017578125","Yes"
"28","304.2870334609698","363.63714690847803","0.009765625","0.01416015625","0.00537109375","2280","0.00019881629297636302","32","0.00019881629297636302","0","0.00019881629297636302","0.00019881629297636302","27:0.001507233378035877;29:0.0033262793812156854","27:68;29:68","27:0.0012458281114133551;29:0.0017245917076993411","0.009765625","0.0068359375","Yes"
"29","210.00008869310838","86.01415842805702","0.01806640625","0.01806640625","0.01806640625","2280","0.00013819884944493653","32","0.00013819884944493653","0","0.00013819884944493653","0.00013819884944493653","38:0.010066312545035816;28:0.0033262793812156854;30:0.0015450909259721313","38:68;28:68;30:80","38:0.004317965633936882;28:0.0017245917076993411;30:0.001542287579564039","0.01806640625","0.00830078125","Yes"
"30","289.9628731313994","59.2953833124775","0.014404296875","0.009765625","0.01904296875","2280","0.000226486414737777","32","0.000226486414737777","0","0.000226486414737777","0.000226486414737777","31:0.009583892686607531;29:0.0015450909259721313","31:68;29:80","31:0.0017754214104553356;29:0.001542287579564039","0.014404296875","0.011474609375","Yes"
