"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"10","148.15356936149433","83.28888067735568","0.005615234375","0.00830078125","0.0029296875","2200","0.0001901882851549931","32","0.0001901882851549931","0","0.0001901882851549931","0.0001901882851549931","9:0.010318926799885803;11:0.0031898387328567757","9:68;11:68","9:0.01132262933571404;11:0.0022872016541757023","0.005615234375","0.001220703125","Yes"
"11","302.7125860976827","378.0201762067545","0.00390625","0.005859375","0.001953125","2200","0.00019804739848811262","32","0.00019804739848811262","0","0.00019804739848811262","0.00019804739848811262","18:0.002429472545636413;10:0.0031898387328567757;12:0.011455557600412863","18:68;10:68;12:68","18:0.002103107258471293;10:0.0022872016541757023;12:0.005191064905129522","0.00390625","0.003662109375","Yes"
"12","244.38223322267675","319.19545692561354","0.0048828125","0.0087890625","0.0009765625","2200","0.00011361683046696967","32","0.00011361683046696967","0","0.00011361683046696967","0.00011361683046696967","13:0.0009837644117071942;11:0.011455557600412863","13:68;11:68","13:0.0009250810717255642;11:0.005191064905129522","0.0048828125","0.00146484375","Yes"
"13","300.5959058506747","436.17923231511804","0.01025390625","0.01611328125","0.00439453125","2200","0.00024789862772335743","32","0.00024789862772335743","0","0.00024789862772335743","0.00024789862772335743","12:0.0009837644117071942;14:0.0009097685678505218","12:68;14:68","12:0.0009250810717255642;14:0.0010023483428228397","0.01025390625","0.004638671875","Yes"
"14","270.1266640087731","417.9292624473572","0.003662109375","0.005859375","0.00146484375","2200","0.00010617692841665716","32","0.00010617692841665716","0","0.00010617692841665716","0.00010617692841665716","15:0.0008203280464435525;13:0.0009097685678505218","15:68;13:68","15:0.0009594344634737684;13:0.0010023483428228397","0.003662109375","0.002197265625","Yes"
"15","298.5291705759004","405.74420548580633","0.007080078125","0.0126953125","0.00146484375","2200","0.0001361168267492687","32","0.0001361168267492687","0","0.0001361168267492687","0.0001361168267492687","14:0.0008203280464435525;19:0.0007622325601470692","14:68;19:68","14:0.0009594344634737684;19:0.0009768044094603245","0.007080078125","0.006103515625","Yes"
"16","262.8564494346022","433.0553078835218","0.00439453125","0.00341796875","0.00537109375","2200","0.00016299042536533376","32","0.00016299042536533376","0","0.00016299042536533376","0.00016299042536533376","23:0.0008780902327369389;3:0.000865130352551341","23:68;3:68","23:0.0008684552131747458;3:0.0008592743501178723","0.00439453125","0.009521484375","Yes"
"17","104.12472315875357","121.93407852113863","0.0087890625","0.01416015625","0.00341796875","2200","0.00022161984114406862","32","0.00022161984114406862","0","0.00022161984114406862","0.00022161984114406862","7:0.0010691810877698216;27:0.0014667877104061477","7:68;27:68","7:0.0010212053582249192;27:0.0011158310602888966","0.0087890625","0.00341796875","Yes"
"18","260.1185533187301","250.72838409743932","0.00439453125","0.00732421875","0.00146484375","2200","0.00012311831153948913","32","0.00012311831153948913","0","0.00012311831153948913","0.00012311831153948913","11:0.002429472545636413;31:0.000804285495803303","11:68;31:68","11:0.002103107258471293;31:0.0013633979768479798","0.00439453125","0.002197265625","Yes"
"19","297.47996946550103","502.83695257131455","0.00341796875","0.00634765625","0.00048828125","2200","0.00008568252321974747","32","0.00008568252321974747","0","0.00008568252321974747","0.00008568252321974747","35:0.0009242163273417148;15:0.0007622325601470692","35:68;15:68","35:0.0013377568475810564;15:0.0009768044094603245","0.00341796875","0.004150390625","Yes"
"20","299.78076666798546","416.65752399016674","0.003173828125","0.00244140625","0.00390625","2200","0.00011639257618137908","32","0.00011639257618137908","0","0.00011639257618137908","0.00011639257618137908","21:0.0010022691070338263","21:68","21:0.0010171310259735056","0.003173828125","0.003173828125","Yes"
"21","303.1319390038938","378.6578463156019","0.014892578125","0.01123046875","0.0185546875","2200","0.0001747290320011782","32","0.0001747290320011782","0","0.0001747290320011782","0.0001747290320011782","36:0.0008545314986091734;20:0.0010022691070338263;22:0.0010966642979184094","36:68;20:68;22:68","36:0.0010756384666694985;20:0.0010171310259735056;22:0.0015156171611505342","0.014892578125","0.013427734375","Yes"
"22","225.72432352982148","274.7667257455584","0.0009765625","0.00146484375","0.00048828125","2200","0.0000962651845205268","32","0.0000962651845205268","0","0.0000962651845205268","0.0000962651845205268","23:0.0010175701653421243;21:0.0010966642979184094","23:68;21:68","23:0.0009598488623498991;21:0.0015156171611505342","0.0009765625","0.002197265625","Yes"
"23","337.75468688457033","412.04844073523935","0.003173828125","0.00439453125","0.001953125","2200","0.00014107391783830254","32","0.00014107391783830254","0","0.00014107391783830254","0.00014107391783830254","22:0.0010175701653421243;24:0.0009645574249388111;16:0.0008780902327369389","22:68;24:68;16:68","22:0.0009598488623498991;24:0.001083033035564701;16:0.0008684552131747458","0.003173828125","0.002197265625","Yes"
"24","300.6170379051259","452.6415320828458","0.0029296875","0.00537109375","0.00048828125","2200","0.00011893400156022258","32","0.00011893400156022258","0","0.00011893400156022258","0.00011893400156022258","23:0.0009645574249388111;25:0.0010338364517762655","23:68;25:68","23:0.001083033035564701;25:0.0009828129344448822","0.0029296875","0.00439453125","Yes"
"25","312.5813128974867","334.426840568569","0.005126953125","0.00537109375","0.0048828125","2200","0.00017755306686091443","32","0.00017755306686091443","0","0.00017755306686091443","0.00017755306686091443","24:0.0010338364517762655;26:0.0008395365390631293;37:0.0010717935404046253","24:68;26:68;37:68","24:0.0009828129344448822;26:0.0009643370470520385;37:0.0010289186410797624","0.005126953125","0.00341796875","Yes"
"26","271.90034153965894","287.0721697885957","0.00341796875","0.00439453125","0.00244140625","2200","0.0001696097892696391","32","0.0001696097892696391","0","0.0001696097892696391","0.0001696097892696391","25:0.0008395365390631293;27:0.0014920576092798954","25:68;27:68","25:0.0009643370470520385;27:0.001887815656057168","0.00341796875","0.004638671875","Yes"
"27","359.9765382723802","418.84487203543495","0.014404296875","0.0244140625","0.00439453125","2200","0.0005255594738165618","32","0.0005255594738165618","0","0.0005255594738165618","0.0005255594738165618","26:0.0014920576092798954;28:0.0011277079706893123;17:0.0014667877104061477","26:68;28:68;17:68","26:0.001887815656057168;28:0.001294246794721593;17:0.0011158310602888966","0.014404296875","0.045166015625","Yes"
"28","293.1651177577424","447.7597549443732","0.00537109375","0.0078125","0.0029296875","2200","0.0002559623834258847","32","0.0002559623834258847","0","0.0002559623834258847","0.0002559623834258847","27:0.0011277079706893123;29:0.0011029175741107677","27:68;29:68","27:0.001294246794721593;29:0.0011287445278979624","0.00537109375","0.000732421875","Yes"
"29","215.79124617815023","197.52433440436565","0.00341796875","0.001953125","0.0048828125","2200","0.00016224275375636342","32","0.00016224275375636342","0","0.00016224275375636342","0.00016224275375636342","38:0.0008526057067882453;28:0.0011029175741107677;30:0.001625608238047166","38:68;28:68;30:68","38:0.0009161590412141707;28:0.0011287445278979624;30:0.001933458059063503","0.00341796875","0.00732421875","Yes"
"30","223.23579924885433","232.04939159865037","0.0068359375","0.01123046875","0.00244140625","2200","0.00031138497936500543","32","0.00031138497936500543","0","0.00031138497936500543","0.00031138497936500543","31:0.001522918984010052;29:0.001625608238047166","31:68;29:68","31:0.0033739536556722793;29:0.001933458059063503","0.0068359375","0.003173828125","Yes"
"31","316.9037630558138","297.9287573307347","0.00146484375","0.00244140625","0.00048828125","2200","0.00012492382774587448","32","0.00012492382774587448","0","0.00012492382774587448","0.00012492382774587448","30:0.001522918984010052;32:0.0008236912376779759;18:0.000804285495803303","30:68;32:68;18:68","30:0.0033739536556722793;32:0.0021394908298812965;18:0.0013633979768479798","0.00146484375","0.004150390625","Yes"
"32","262.1114466524806","264.38531218054754","0.00439453125","0.0068359375","0.001953125","2200","0.0001216613205560683","32","0.0001216613205560683","0","0.0001216613205560683","0.0001216613205560683","31:0.0008236912376779759;33:0.0011459149209868125","31:68;33:68","31:0.0021394908298812965;33:0.0059900567984281505","0.00439453125","0.004638671875","Yes"
"33","343.9576078327062","301.14889953345113","0.004150390625","0.005859375","0.00244140625","2200","0.00009358314108809325","32","0.00009358314108809325","0","0.00009358314108809325","0.00009358314108809325","39:0.0012463757484671434;32:0.0011459149209868125;34:0.0013253066570259597","39:68;32:68;34:68","39:0.001437609320240535;32:0.0059900567984281505;34:0.0012159181433739619","0.004150390625","0.0029296875","Yes"
"34","296.97620087170407","369.1380136075435","0.00341796875","0.00439453125","0.00244140625","2200","0.00009191018150157251","32","0.00009191018150157251","0","0.00009191018150157251","0.00009191018150157251","33:0.0013253066570259597;35:0.0010941473563141901","33:68;35:68","33:0.0012159181433739619;35:0.000812601043265998","0.00341796875","0.00390625","Yes"
"35","298.8814149106632","532.8615856000606","0.003662109375","0.00537109375","0.001953125","2200","0.00016165275148256284","32","0.00016165275148256284","0","0.00016165275148256284","0.00016165275148256284","19:0.0009242163273417148;34:0.0010941473563141901","19:68;34:68","19:0.0013377568475810564;34:0.000812601043265998","0.003662109375","0.002685546875","Yes"
"36","256.84446923492635","343.32737207198585","0.004150390625","0.0078125","0.00048828125","2200","0.00011315907567121732","32","0.00011315907567121732","0","0.00011315907567121732","0.00011315907567121732","41:0.0012340242839788684;21:0.0008545314986091734","41:68;21:68","41:0.0012427172454231306;21:0.0010756384666694985","0.004150390625","0.00146484375","Yes"
"37","247.5899810876092","173.63826537491929","0.003662109375","0.00537109375","0.001953125","2200","0.0003239034414017565","32","0.0003239034414017565","0","0.0003239034414017565","0.0003239034414017565","45:0.001307824404815;25:0.0010717935404046253","45:68;25:68","45:0.001093141850472018;25:0.0010289186410797624","0.003662109375","0.0029296875","Yes"
"38","261.28257365411696","330.7772079457209","0.00244140625","0.00341796875","0.00146484375","2200","0.00020001106741380218","32","0.00020001106741380218","0","0.00020001106741380218","0.00020001106741380218","29:0.0008526057067882453;49:0.0010636009950967251","29:68;49:68","29:0.0009161590412141707;49:0.0009186208600554524","0.00244140625","0.0029296875","Yes"
"39","263.1002373726575","236.4840459411161","0.00439453125","0.005859375","0.0029296875","2200","0.0001319919935775121","32","0.0001319919935775121","0","0.0001319919935775121","0.0001319919935775121","53:0.0008627204428415525;33:0.0012463757484671434","53:68;33:68","53:0.0011951222556904062;33:0.001437609320240535","0.00439453125","0.00439453125","Yes"
"40","241.37865520733743","442.5617207851041","0.001953125","0.001953125","0.001953125","2200","0.00011608598828304435","32","0.00011608598828304435","0","0.00011608598828304435","0.00011608598828304435","41:0.001092932235733618","41:68","41:0.0008943446014593459","0.001953125","0.00244140625","Yes"
"41","295.19610771516994","207.77950663050552","0.005859375","0.009765625","0.001953125","2200","0.00011412746605922274","32","0.00011412746605922274","0","0.00011412746605922274","0.00011412746605922274","40:0.001092932235733618;42:0.0007772069049879204;36:0.0012340242839788684","40:68;42:68;36:68","40:0.0008943446014593459;42:0.0012514568008756277;36:0.0012427172454231306","0.005859375","0.006591796875","Yes"
"42","239.7748981128647","291.704287021467","0.003662109375","0.00390625","0.00341796875","2200","0.0001610071491133229","32","0.0001610071491133229","0","0.0001610071491133229","0.0001610071491133229","41:0.0007772069049879204;43:0.00109556533071134","41:68;43:68","41:0.0012514568008756277;43:0.0010041933882225518","0.003662109375","0.00927734375","Yes"
"43","297.7166596394177","377.13671287168927","0.00341796875","0.00244140625","0.00439453125","2200","0.00009068167137164309","32","0.00009068167137164309","0","0.00009068167137164309","0.00009068167137164309","42:0.00109556533071134;56:0.0007144123076420761;44:0.001134969793315288","42:68;56:68;44:68","42:0.0010041933882225518;56:0.0016737416785404524;44:0.0015785366245833488","0.00341796875","0.00244140625","Yes"
"44","210.4698567341037","250.1742189842618","0.00439453125","0.00732421875","0.00146484375","2200","0.0001116431028704503","32","0.0001116431028704503","0","0.0001116431028704503","0.0001116431028704503","45:0.0018989242805411144;43:0.001134969793315288","45:68;43:68","45:0.0016085125955871693;43:0.0015785366245833488","0.00439453125","0.0009765625","Yes"
"45","237.09238028831703","246.50612642400918","0.00390625","0.00390625","0.00390625","2200","0.0003868056282086379","32","0.0003868056282086379","0","0.0003868056282086379","0.0003868056282086379","44:0.0018989242805411144;46:0.10952884667434422;37:0.001307824404815","44:68;46:68;37:68","44:0.0016085125955871693;46:0.1337367280410813;37:0.001093141850472018","0.00390625","0.0048828125","Yes"
