leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,238590.5,7628.818435526056,1045645.9,3577.6607332476674,565108.841999998,6691.156684762226,2270.1008841206412,76.94791609882733,296049.9,36306.25559337001,1265569.1,133806.41013913433,653338.841999999,61542.536356053635,2852.12978087139,279.0106071138204
20,233912.2,17637.462331954423,2055450.8,4799.59879804783,1062876.7499999998,5649.0292087223925,4537.760465038291,136.74806190920393,314194.5,45586.95622958148,2590820.4,326484.7196639445,1309531.6679999954,162149.5963618017,5325.479282434034,230.29277107242427
30,267126.5,29106.245096389724,3064572.2,4345.515742310284,1575727.319999983,7412.365794320469,6364.623855140171,277.4169683935101,331366.0,64360.26041311862,3794987.4,381696.60000645655,1913369.435999988,187746.40787317394,7694.221393977599,299.4828540193811
40,277090.9,38374.682589928714,4071792.0,2042.5925791612592,2071365.113999977,15510.630028917569,8268.706905161253,297.2622633822088,315637.3,45790.13720842804,5141354.2,376247.4911735624,2587004.424000005,181343.0146392751,10597.624158710441,805.8053285210028
50,261125.6,17492.734080183116,5148064.2,198954.8655788823,2625694.343999997,99388.27571372886,10381.117968050328,183.56372239261538,323020.5,58534.98741825743,6227781.0,883308.2112558448,3119719.626000055,418821.2447009717,12993.36337399315,694.0014788586229
60,289265.3,19075.372051417504,6391749.0,391752.93916021445,3211095.4380000746,197232.1058025212,12592.517921955012,507.2919503169492,340148.2,45889.0765452714,7765054.3,857527.8809700011,3862180.536000078,408179.50670057564,15136.562818407498,903.0986225674192
70,262541.6,26792.56576490327,7091153.1,1396.6231059237045,3573026.3400001028,3892.6091207708287,14353.62346542732,535.522030390384,353793.0,36813.570067450826,9576408.3,914510.146601149,4735974.720000124,444173.73488016496,18584.231149788513,1264.3587657812102
80,256815.4,12191.49134255344,8302857.9,422844.18066823256,4155660.120000127,177614.45486769066,17069.764053773528,519.8057271176425,332768.0,45291.03949887757,10035264.1,1003600.1198417242,4998449.1540001,485576.25831813144,20394.608082706378,1076.2133171936205
90,243194.2,15057.44597496165,9328841.3,476699.4110683375,4702102.2600001665,255701.33196361104,19371.101226925985,291.431422871305,318516.2,34538.972823946766,11050079.1,929589.2694668315,5539707.312000116,433373.7294965661,23172.07063550476,1502.632585625122
