filename,final_depth,swap_count,runtime,compiled_qasm_file
16QBT_500CYC_QSE_6.json,1475,1063,0.31947755813598633,results/circuits/16QBT_500CYC_QSE_6_compiled_20250818-133555.qasm
16QBT_500CYC_QSE_7.json,1341,1003,0.3674967288970947,results/circuits/16QBT_500CYC_QSE_7_compiled_20250818-133557.qasm
16QBT_500CYC_QSE_8.json,1417,931,0.3376433849334717,results/circuits/16QBT_500CYC_QSE_8_compiled_20250818-133600.qasm
16QBT_500CYC_QSE_9.json,1370,1010,0.33812379837036133,results/circuits/16QBT_500CYC_QSE_9_compiled_20250818-133602.qasm
16QBT_600CYC_QSE_0.json,1526,1136,0.39902234077453613,results/circuits/16QBT_600CYC_QSE_0_compiled_20250818-133605.qasm
16QBT_600CYC_QSE_1.json,1739,1147,0.3558461666107178,results/circuits/16QBT_600CYC_QSE_1_compiled_20250818-133608.qasm
16QBT_600CYC_QSE_2.json,1699,1144,0.3814992904663086,results/circuits/16QBT_600CYC_QSE_2_compiled_20250818-133611.qasm
16QBT_600CYC_QSE_3.json,1557,1027,0.3647458553314209,results/circuits/16QBT_600CYC_QSE_3_compiled_20250818-133614.qasm
16QBT_600CYC_QSE_4.json,1603,1167,0.34507131576538086,results/circuits/16QBT_600CYC_QSE_4_compiled_20250818-133616.qasm
16QBT_600CYC_QSE_5.json,1575,1077,0.33200907707214355,results/circuits/16QBT_600CYC_QSE_5_compiled_20250818-133619.qasm
16QBT_600CYC_QSE_6.json,1771,1267,0.372525691986084,results/circuits/16QBT_600CYC_QSE_6_compiled_20250818-133622.qasm
16QBT_600CYC_QSE_7.json,1639,1238,0.42668986320495605,results/circuits/16QBT_600CYC_QSE_7_compiled_20250818-133625.qasm
16QBT_600CYC_QSE_8.json,1637,1095,0.35760998725891113,results/circuits/16QBT_600CYC_QSE_8_compiled_20250818-133627.qasm
16QBT_600CYC_QSE_9.json,1670,1090,0.34510111808776855,results/circuits/16QBT_600CYC_QSE_9_compiled_20250818-133630.qasm
16QBT_700CYC_QSE_0.json,1797,1172,0.3900928497314453,results/circuits/16QBT_700CYC_QSE_0_compiled_20250818-133634.qasm
16QBT_700CYC_QSE_1.json,2035,1359,0.4506826400756836,results/circuits/16QBT_700CYC_QSE_1_compiled_20250818-133637.qasm
16QBT_700CYC_QSE_2.json,1859,1376,0.4178493022918701,results/circuits/16QBT_700CYC_QSE_2_compiled_20250818-133640.qasm
16QBT_700CYC_QSE_3.json,1808,1260,0.45191121101379395,results/circuits/16QBT_700CYC_QSE_3_compiled_20250818-133643.qasm
16QBT_700CYC_QSE_4.json,1944,1342,0.41535258293151855,results/circuits/16QBT_700CYC_QSE_4_compiled_20250818-133647.qasm
16QBT_700CYC_QSE_5.json,1813,1232,0.3694283962249756,results/circuits/16QBT_700CYC_QSE_5_compiled_20250818-133650.qasm
