leaf_depth,swaps_mean_default,swaps_std_default,depth_mean_default,depth_std_default,latency_mean_default,latency_std_default,error_mean_default,error_std_default,swaps_mean_no_remap,swaps_std_no_remap,depth_mean_no_remap,depth_std_no_remap,latency_mean_no_remap,latency_std_no_remap,error_mean_no_remap,error_std_no_remap,swaps_mean_no_remap_no_error,swaps_std_no_remap_no_error,depth_mean_no_remap_no_error,depth_std_no_remap_no_error,latency_mean_no_remap_no_error,latency_std_no_remap_no_error,error_mean_no_remap_no_error,error_std_no_remap_no_error,swaps_mean_distance_only,swaps_std_distance_only,depth_mean_distance_only,depth_std_distance_only,latency_mean_distance_only,latency_std_distance_only,error_mean_distance_only,error_std_distance_only
10,3755.4,459.8178866561075,6197.1,386.2306305822988,3307.6379999999904,164.90670829289826,18.268039268684326,0.3572461419778197,8080.2,432.1904929799153,8312.6,234.83478826140274,4395.155999999978,64.84074768230303,20.479179053194525,0.3818918706137485,8117.8,598.1653060261297,8073.5,448.53694261330236,4334.90399999998,217.60301505263698,22.9502954184858,0.19745630332456962,7669.1,403.9536414546157,7688.5,362.0249377536796,4126.553999999984,141.82231827184214,22.275424488802443,0.994289575625302
20,3611.9,301.5340224032218,12224.2,783.1382452103275,6345.623999999964,360.47320588359946,33.9257921170149,0.25495052051868294,8220.9,327.27407813974844,14644.6,830.6395394179382,7597.571999999969,391.9659687268783,36.25443011754306,0.5326446318245166,7988.5,335.42816750469177,15113.4,482.3486982118503,7870.661999999973,240.87418300847008,41.928559361839305,0.9581004846809812,7782.5,373.5494166327484,14544.7,331.6283227416564,7480.685999999984,138.911754578224,39.612474414514324,1.5883363732298463
30,3626.3,320.6524771635346,18163.2,858.3700056890773,9325.69199999993,416.14125082715884,48.963224629764206,0.5380793429210894,8236.2,499.5604289995578,20936.1,588.0091552575238,10733.453999999912,296.5581352112925,52.09939511150708,0.28665424056244765,8157.0,302.1864766442513,23119.0,1260.5824932237563,11964.011999999915,516.7315897446074,60.32553988739812,1.0089426282561738,7855.9,539.1434461769479,21664.0,794.0589118922826,11278.71599999991,361.0803004319129,60.75887968150306,1.2692394599536185
40,3529.0,737.5929319979507,25492.9,3880.2488307953763,12882.149999999867,1764.4447743695089,65.37143787276145,0.737228425106385,8163.9,644.9820755476686,29889.5,3089.599084023686,15120.137999999832,1352.1020745638796,69.2489912414911,1.2728439089730628,7973.7,237.69964708055883,28426.7,1707.1389353079746,14520.521999999866,805.9640860732961,77.0561657472418,3.1734747913973447,7697.1,297.1619274252862,29193.8,1634.1396513150278,15057.641999999894,682.0130679392794,79.17650724127927,2.494041208794833
50,3775.8,553.1344622542816,31168.1,5167.775847607084,15817.69799999984,2339.5367373990866,80.39323426002997,2.645922189461237,8373.3,634.4766960084331,36883.1,4676.589437471143,18615.257999999838,2099.761288727859,83.27728950097833,2.4488108335764522,7783.6,556.2246149014104,35157.2,1222.341996151468,18240.323999999953,507.9902449456613,96.37352261277559,3.5028772515865643,8139.7,493.5893592406096,37487.7,2615.6622722022476,19077.647999999885,1024.9767914640568,95.72446960571776,1.3368151164824378
60,3524.1,438.56393173883123,35222.8,911.6779158355324,17805.347999999845,405.59298001814085,95.85224726604991,3.0582297385643415,8140.4,365.1082640045887,42518.6,1552.81122842125,21401.41199999995,804.5779817022488,100.15656135282111,2.4064759105591595,8950.0,910.2413599333603,44331.7,2930.7862445274154,22715.25599999994,1169.7935032133287,118.46781358797428,4.829230733917529,7658.4,380.1926996785826,43991.7,3668.2720440132143,22177.8,1566.7828071561269,114.26740146197844,3.1651032730201347
70,3807.6,344.8008120640089,43286.5,7306.595289341147,21726.509999999853,3350.2208815839053,113.76109290263632,1.4205256003061233,8417.9,329.67979414375185,55237.4,5928.818510743378,27515.280000000115,2785.8791118066574,117.39142008911263,2.1022319296127234,8401.2,574.1133840782478,53396.7,4024.588620799231,27032.76000000008,1735.7762044688366,137.96062022086977,5.540335784996569,7858.8,274.1912552297107,52151.6,2898.8873037770886,26394.030000000006,1236.573735852419,133.27579062735555,5.38046459890829
80,3757.6,692.5097993690936,46371.6,1212.8548690314651,23480.327999999885,536.7489624023702,127.38347391775832,2.82473464693317,8182.0,616.6140518094676,55848.5,2019.9489680022448,28060.080000000056,830.6672763508384,131.780170077498,2.3912846005731927,7555.3,484.9481186454667,60338.2,3372.416238973014,30959.333999999963,1407.2533225969237,154.4343278775186,6.607347159384978,8280.0,560.0321419347288,62359.3,3502.136936532068,31650.150000000343,1522.4723609315727,151.86148195812686,8.19634626841559
90,3248.7,364.1025649151318,52319.9,1418.7514424858061,26303.765999999996,679.3332445567968,143.73172054397187,2.4116869230235842,7881.7,306.7087108859697,63013.2,1486.0273513259738,31555.40400000029,672.9581289797954,149.06075345075794,2.2765391662529,8802.2,456.4120458046166,71262.7,2784.8993618361787,35818.14000000085,1205.3654964368934,175.9881365480442,3.8396659336034507,7678.6,520.4097103885234,65043.6,4510.682559830113,33239.550000000316,1998.2424189775822,169.66827640326554,5.3679526379652645
