leaf_depth,swaps_mean_default,swaps_std_default,depth_mean_default,depth_std_default,latency_mean_default,latency_std_default,error_mean_default,error_std_default,swaps_mean_no_remap,swaps_std_no_remap,depth_mean_no_remap,depth_std_no_remap,latency_mean_no_remap,latency_std_no_remap,error_mean_no_remap,error_std_no_remap,swaps_mean_no_remap_no_error,swaps_std_no_remap_no_error,depth_mean_no_remap_no_error,depth_std_no_remap_no_error,latency_mean_no_remap_no_error,latency_std_no_remap_no_error,error_mean_no_remap_no_error,error_std_no_remap_no_error,swaps_mean_distance_only,swaps_std_distance_only,depth_mean_distance_only,depth_std_distance_only,latency_mean_distance_only,latency_std_distance_only,error_mean_distance_only,error_std_distance_only
10,6847.4,905.4941192520248,12087.1,758.7992634565632,6455.957999999983,324.0465423978452,35.60647617802566,0.6995045784866444,15778.2,843.9553437369915,16345.6,456.89293664441306,8649.095999999983,125.77441456830663,40.16794316309353,0.7515056411391388,15849.8,1167.3114218389005,15879.5,890.648234589716,8533.463999999984,433.39300058953006,45.027370696085676,0.3942944267020876,4721.6,470.35972049769174,12371.6,468.0551249585885,6736.679999999988,146.3366119602279,39.98102342681627,1.2642182654906746
20,6571.9,596.5032271496945,23955.2,1561.5048155189559,12436.763999999936,718.1387800139978,66.38294942490538,0.4863389833823285,16062.9,639.0321588151882,28817.6,1656.4356780616492,14955.551999999898,781.5283896570758,71.17481750029273,1.0445802979086993,15608.5,655.0053858981281,29746.4,960.8982140569198,15496.001999999931,480.7213139023613,82.30709168106861,1.8831302993008505,4882.9,418.68217858737034,24316.3,634.3010238750121,12666.437999999964,334.0599312099631,77.08739685148667,1.5482505752630547
30,6586.3,623.7202097094498,35606.2,1715.8072152779864,18287.5319999999,833.5864047835738,95.87986835090373,1.0770469433655512,16092.2,974.1401678745553,41174.1,1178.6421990296014,21117.833999999908,594.4000117429321,102.29231711308971,0.5631222116561346,15931.0,588.9321787023623,45483.0,2506.713962319772,23547.431999999935,1026.4762640412168,118.42300139957369,1.986794922923632,4370.7,246.85760627895934,34214.8,896.7677514273142,17860.607999999927,458.8028088841808,113.779688399357,1.7749980917975454
40,6361.0,1454.0422582885578,49948.9,7662.458199269708,25240.22999999994,3483.0419247835707,128.04843066722242,1.4356188703175863,15945.9,1258.2748728141858,58762.5,6072.809916157246,29731.697999999986,2652.4807960926464,135.96456995388934,2.5115279328565117,15571.7,465.4290851819782,55880.7,3359.7727122199462,28554.581999999973,1589.4373351724078,151.31325213633093,6.256441461211332,4378.3,365.13834516674797,47349.2,758.8054647492556,24588.779999999926,300.40348067223806,149.5866001137546,2.514043192227846
50,6879.8,1071.7232022412425,61064.1,10175.445133042365,30997.878000000033,4604.282213596662,157.62266205593158,5.195385589178852,16363.3,1238.8483047662544,72516.1,9186.356567698038,36607.99800000041,4121.17585114278,163.53256740310843,4.801721139050051,15203.6,1086.79919437258,69111.2,2415.8555788328445,35860.704000000165,1017.312268362307,189.20812145603225,6.882075899454801,4946.0,297.40059030054243,56663.9,1527.5380664469365,30048.69599999993,520.2193692664385,190.0491631522458,4.535717651403992
60,6370.1,866.8918233166889,68994.8,1798.2478385608822,34879.06800000013,797.6700900999336,187.88930722017088,6.015541485512672,15896.4,714.6847323587278,83613.6,3084.4461847577545,42090.01200000088,1603.6008133698388,196.65286172555346,4.711700556778859,17474.0,1775.1511359756262,87126.7,5836.6435569692885,44672.19600000078,2330.0587994643574,232.58041476727038,9.4936587669307,4564.9,405.147284604281,68603.6,1972.3075712361792,35431.75200000017,1280.4751708018805,228.33789036335028,7.766896374332192
70,6935.6,678.807156382102,84786.5,14397.69971017747,42570.87000000077,6597.148353296856,223.09211159317027,2.7603172220992502,16447.9,643.6854735729934,108708.4,11621.400003633144,54161.04000000175,5462.016104846684,230.49889849089286,4.099824053672,16411.2,1120.8793968229686,105114.7,7906.914485295624,53211.48000000087,3409.17052433651,270.96699541812836,10.929052211567539,4512.5,538.0574628544183,77814.5,124.43137332146974,40901.256000000285,350.6727388321254,269.6023401755814,9.954741791254328
80,6837.6,1358.5894809609626,90872.6,2461.627519435962,46031.62800000086,1084.9604843680663,249.881830543343,5.574795961286303,15984.0,1205.053986803542,109846.5,4000.392543238725,55203.90000000161,1647.8382663358313,258.82567035584964,4.696314325208416,14755.3,947.8849027645123,118772.2,6679.838534309378,60934.07400000078,2783.203789369515,303.36550000400246,13.02746450369754,4529.3,342.1072119152772,89826.5,2090.5384872483614,47128.63200000087,1405.527599956749,304.74027110258214,13.111758045346413
90,5848.7,719.9672909236918,102547.9,2830.708527324329,51557.76600000149,1347.0194865554286,281.9451244528669,4.749114075863086,15401.7,600.4953603299346,123956.2,2878.8020965518117,62076.62400000235,1314.0751793410057,292.7503264194543,4.47027156941738,17191.2,891.4658091530414,140145.7,5384.749742456828,70458.96000000325,2328.5733847146266,345.4559605074784,7.526109723049369,4512.5,307.0730097767196,101987.2,2828.2645562252487,53311.12800000061,1057.7094655150622,342.5188223789481,11.034173950226318
