leaf_depth,swaps_mean_default,swaps_std_default,depth_mean_default,depth_std_default,latency_mean_default,latency_std_default,error_mean_default,error_std_default,swaps_mean_no_remap,swaps_std_no_remap,depth_mean_no_remap,depth_std_no_remap,latency_mean_no_remap,latency_std_no_remap,error_mean_no_remap,error_std_no_remap,swaps_mean_no_remap_no_error,swaps_std_no_remap_no_error,depth_mean_no_remap_no_error,depth_std_no_remap_no_error,latency_mean_no_remap_no_error,latency_std_no_remap_no_error,error_mean_no_remap_no_error,error_std_no_remap_no_error,swaps_mean_distance_only,swaps_std_distance_only,depth_mean_distance_only,depth_std_distance_only,latency_mean_distance_only,latency_std_distance_only,error_mean_distance_only,error_std_distance_only
10,4578.6,798.414846221353,11883.7,300.25324496349947,6381.371999999984,104.29760419108216,26.778923088105376,0.7093495412560235,10663.9,764.0756870595711,14431.4,229.46953319921718,7638.425999999983,152.45367939148196,30.619093167602262,0.6154854328124421,9973.1,497.1877467874241,15965.1,713.4615850438852,8284.907999999981,290.7330814338073,33.55958330134754,1.7186068887002464,3330.2,318.1316289420675,11646.0,299.6371880198526,6269.675999999984,157.9619680809266,30.59567603765392,0.9942515318257594
20,4900.9,535.5685348819098,24235.1,1114.861770205915,12611.45999999993,543.6413479491744,47.99521796815347,1.5995107728243507,10380.5,409.5966172820386,29482.5,1351.2173318077957,15120.35999999989,627.9628396648855,52.8995277171352,1.4466109055862242,10121.0,382.5714167170475,27879.5,2240.567053721495,14483.48399999991,894.8191040428209,60.47792605538041,2.5542074578506035,3077.7,231.26850676696606,22858.2,526.9663282517313,12093.557999999928,280.9696012738677,59.82076716060992,3.878884246645282
30,5447.9,637.8595195391121,35987.8,3825.3347798300965,18432.971999999903,1847.8062863406478,71.72579051395695,2.2599718772528155,12076.1,485.76639333005494,47893.4,3735.094501258748,24063.37199999991,1687.7997714895184,78.34473922590408,3.161259863437847,10276.1,445.0666491911319,42869.1,1885.9589632627512,21656.687999999886,913.4868795116972,90.39413538121117,2.5779777577864658,3239.1,252.9507857271845,34361.4,1302.5273040430968,17682.359999999902,584.763031663248,87.91690333971846,3.4384074326485567
40,4937.8,730.6207102335809,45975.4,1234.3119720898953,23620.787999999895,537.0179153808702,93.57115452116858,1.8542578132415657,10543.3,558.959758042662,54723.3,3547.574384154772,28016.11799999996,1716.3635085960325,99.621302512707,1.7766242671422028,9557.1,511.37232576231156,56677.9,2779.2565132903196,28998.017999999924,1392.8798911751041,116.06073097845656,3.20137854430902,3189.4,261.6690870376383,44716.1,134.9365694605349,22944.437999999882,114.03850595303005,114.85492152255833,3.7434447113186424
50,5140.3,357.0076407523452,57887.0,3062.053704442314,29487.527999999904,1197.6824426533583,115.77014852657594,2.6564002563822977,11731.3,780.0782083298515,74901.8,8372.369474779658,37964.35200000051,3632.901327237177,122.20075815166999,3.1756782145125433,11075.1,1001.2761246418382,68237.0,2814.105304828991,34945.3920000003,1346.94523030455,147.90358785603132,3.745407322873469,3164.6,350.2184080446562,55660.5,112.99188761440595,28567.505999999885,204.95649187083217,147.06166349186708,8.647796937220388
60,4816.9,628.3750560860219,68686.2,1964.8265855059872,35286.20400000015,914.8797097761263,141.51274874271917,4.985498640191181,10872.2,543.2265334707677,87925.7,2994.350422972494,44306.742000001075,1385.4570818470982,147.97117554992835,4.311508886401953,11370.1,580.487429282974,88786.0,6259.763414059671,44607.76800000107,3100.5484090144823,179.35583830157907,18.08083833646731,2994.1,151.8035645899734,67489.2,2299.27059931816,34532.19600000015,1066.9587786602497,174.275832312982,11.60221548134728
70,4593.5,248.42179632409247,78308.8,1309.3983181429328,40037.44800000052,573.0297596461398,159.008042817907,5.080177300341055,10023.9,521.0884868341567,93476.8,3964.881889791927,47423.928000001135,1619.0197433756318,166.06040507428125,5.16017475859342,10523.4,1255.8877515305437,98388.0,7051.088363586938,49770.22800000139,3045.962939866744,201.3076332838562,9.848761174477403,3191.8,279.027995409461,82946.9,1863.8395525843368,42082.4640000008,835.6463295917391,198.19952348811097,11.755645196069276
80,5602.6,395.59777552458496,97219.1,6132.5166566789285,48615.79200000127,2696.7978796791717,180.44040678040795,3.8386708762447768,11717.5,399.1227185270772,125762.1,11094.649365547542,62641.8360000022,5091.694089491802,189.86253737708327,5.49760896533564,9788.7,724.4262173916984,116355.7,5872.794471118498,58246.77000000179,2829.8940511974233,239.0566855039703,26.112459973617277,3124.9,290.60681723287604,88791.3,221.60628250219804,45392.976000000664,1753.027457217298,227.2068338903758,14.42935684844844
90,4815.0,215.93620457080505,103185.2,2777.9510754831126,51958.40400000158,1256.2024203765875,216.56720912475058,4.224974875260378,10703.3,364.00489923442865,127379.0,2639.876764800458,64100.1540000026,1205.239609853632,224.08548757722974,2.114004689835431,9806.5,577.8023979797167,121370.1,6999.8512119107845,61267.134000002115,3342.39902003972,262.99331558060675,9.706441374275135,3139.7,314.94057640556053,101011.3,2368.2502706522473,50995.176000001644,1172.5546681329108,262.7779810185499,21.45340462647923
