distance,rounds,n_samples_ours,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,time_mean_ours,time_std_ours,n_samples_sabre,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre,time_mean_sabre,time_std_sabre
3,3,9,420.0,0.0,199.77777777777777,6.528191476252614,124.13999999999997,4.055021578240983,0.08697096774193551,0.0,0.27843055555555557,0.06962786368195982,9,480.0,32.12475680841802,185.0,28.24889378365107,111.71999999999993,17.027530648922554,0.09966634408602154,0.006203957965578388,0.020640555555555554,0.005002187101905438
5,3,9,1462.2222222222222,5.202088849208723,316.0,14.368174708168205,471.5066666666662,11.236943040208383,0.16688888888888892,0.0006475023237481512,7.8683481111111115,0.09891507401632114,9,2380.0,32.61901286060018,446.0,43.05810028322197,737.1119999999987,56.82499365596074,0.2704802816901409,0.006042806382348882,0.04355088888888889,0.013515377451418847
7,3,9,4551.888888888889,14.639705859556093,460.3333333333333,25.144029554194812,526.3919999999993,15.581588109047095,0.24644223602484475,0.0012708457035098973,109.97169166666667,20.521333472677682,9,6284.0,248.12899870833317,706.0,98.17331613019904,1090.6440000000043,146.38138406232054,0.3303721686746989,0.005499985301976948,0.0781908888888889,0.012490063619128468
