distance,rounds,n_samples_ours,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,time_mean_ours,time_std_ours,n_samples_sabre,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre,time_mean_sabre,time_std_sabre
3,3,9,1104.4444444444443,8.31479419283098,591.3333333333334,15.804359454839597,38022.666666666664,1072.0978396479388,1.5687683710688032,0.00357498031006779,0.15932544444444444,0.022996312738790256,9,1346.6666666666667,9.428090415820634,705.3333333333334,20.548046676563253,46090.666666666664,1397.2671740063013,2.1904669655118383,0.018200025004779335,0.008010333333333335,0.0013047719255784812
3,5,9,1100.0,0.0,590.4444444444445,17.487208729119764,37930.22222222222,1192.1448250739577,1.5675544820383491,0.006962973037260295,0.1625307777777778,0.01393898441046053,9,1346.6666666666667,9.428090415820634,705.3333333333334,20.548046676563253,46090.666666666664,1397.2671740063013,2.1904737390280853,0.018200026670761222,0.007936333333333333,0.0011335949697998645
3,10,9,1100.0,0.0,596.6666666666666,9.706813185707357,38377.333333333336,660.0632966281004,1.5734431808031109,0.005614257674075804,0.16243388888888888,0.013545283971794135,9,1346.6666666666667,9.428090415820634,705.3333333333334,20.548046676563253,46090.666666666664,1397.2671740063013,2.190467190234887,0.018200025159916894,0.010428555555555555,0.006587658311167281
3,15,9,1102.2222222222222,6.285393610547089,585.0,14.102797200870786,37580.0,962.8864015148528,1.5750749411033629,0.01042120442409776,0.1589253333333333,0.01475018496305875,9,1346.6666666666667,9.428090415820634,705.3333333333334,20.548046676563253,46090.666666666664,1397.2671740063013,2.190471431630155,0.018200024876205267,0.008168333333333335,0.00102676817679985
3,20,9,1102.2222222222222,6.285393610547089,591.3333333333334,16.6266185511199,38022.666666666664,1122.8234253187118,1.5748149105720226,0.00869990775578827,0.160217,0.010861221744250407,9,1346.6666666666667,9.428090415820634,705.3333333333334,20.548046676563253,46090.666666666664,1397.2671740063013,2.190467621846847,0.0182000266289673,0.00821711111111111,0.0007912206384855186
5,3,9,6048.333333333333,29.93325909419153,1645.4444444444443,61.03389060570476,109503.55555555556,3951.449554308762,5.40279347748402,0.05123232926705314,5.180238555555556,0.3854903199179834,9,4573.333333333333,126.84198393626966,1475.3333333333333,173.0767331432956,98104.0,11495.575960632275,3.7467611392394797,0.395614021763875,0.014449222222222224,0.0027655977765626717
5,5,9,6008.777777777777,46.51828261322586,1614.2222222222222,42.19736110173973,107276.88888888889,2713.993877191343,5.387067583454898,0.07250953971145728,4.859618,0.3180359906285941,9,4573.333333333333,126.84198393626966,1475.3333333333333,173.0767331432956,98104.0,11495.575960632275,3.7467572058729703,0.39561388771792544,0.016349444444444444,0.003989315873154503
5,10,9,6022.777777777777,48.4189535381383,1625.6666666666667,33.944398981602575,108210.66666666667,2075.232998966622,5.357162022126161,0.0677630231989967,5.152190333333333,1.175039093683837,9,4573.333333333333,126.84198393626966,1475.3333333333333,173.0767331432956,98104.0,11495.575960632275,3.746754854201155,0.39561380750787933,0.014463555555555556,0.0024624498691394087
5,15,9,6034.555555555556,49.44831445528892,1627.6666666666667,51.691391933280336,108200.0,3519.116555803933,5.382147833146075,0.06689008713629375,5.545305666666668,0.20953618144209224,9,4573.333333333333,126.84198393626966,1475.3333333333333,173.0767331432956,98104.0,11495.575960632275,3.746756618831848,0.3956138676637296,0.014939777777777778,0.0023286754355106294
5,20,9,6027.222222222223,50.31849180255655,1652.3333333333333,27.39018477889885,109871.55555555556,1760.6215513032835,5.411472388763574,0.045517945273537676,5.203097111111111,0.21022385547973715,9,4573.333333333333,126.84198393626966,1475.3333333333333,173.0767331432956,98104.0,11495.575960632275,3.746755049932098,0.3956138141858644,0.01955833333333333,0.014638426797682569
7,3,9,14554.444444444445,64.56540372385734,2817.5555555555557,79.1722610109137,188385.77777777778,5220.93669283753,5.4522595718448486,0.09345195441113434,39.50853755555556,5.792015036034296,9,15133.333333333334,281.1089152307735,3942.0,272.7636339397171,261810.66666666666,17842.64056192979,5.206662105699317,0.2888816749920868,0.045888888888888896,0.004338840716762037
7,5,9,14554.666666666666,30.912061651652344,2807.0,71.15241855809728,187552.0,4689.557193026509,5.470596651362452,0.050626135645583416,39.9261448888889,4.988790196017723,9,15133.333333333334,281.1089152307735,3942.0,272.7636339397171,261810.66666666666,17842.64056192979,5.206677596931996,0.2888816761059454,0.05313288888888889,0.010631134573552707
7,10,9,14549.555555555555,38.17826930222977,2863.8888888888887,81.95723064087139,191436.44444444444,5367.354968513327,5.431210637491869,0.08701937257645641,32.90649,8.724273802092412,9,15133.333333333334,281.1089152307735,3942.0,272.7636339397171,261810.66666666666,17842.64056192979,5.206694745131857,0.28888167631741996,0.03650722222222222,0.0025840710249001274
7,15,9,14536.222222222223,36.714446983223795,2866.4444444444443,53.65550838680883,191742.22222222222,3466.590825381225,5.42578084215948,0.0766382333284789,37.60900055555556,5.018717282394667,9,15133.333333333334,281.1089152307735,3942.0,272.7636339397171,261810.66666666666,17842.64056192979,5.206677305127433,0.2888816767078804,0.03957622222222222,0.005970783696519015
7,20,9,14536.222222222223,71.93481274008168,2770.6666666666665,78.04557073345747,185189.33333333334,5163.160444706108,5.440895599928877,0.06083215922835608,33.77207811111111,6.6997193934110975,9,15133.333333333334,281.1089152307735,3942.0,272.7636339397171,261810.66666666666,17842.64056192979,5.206677995180687,0.28888167618860844,0.048903888888888886,0.0036371923984317737
