leaf_depth,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre
10,10532.1,1748.2140378747174,14317.8,250.98153982580743,7879.877999999997,101.08789462640854,36.35435404015425,0.8604650837733563,12517.0,1753.8928764956606,15890.6,1169.7626729858973,8718.083999999983,602.1076370218146,40.35073561376594,1.7769161765801131
20,13975.7,1258.082849241478,27933.2,1046.7859592316108,14697.971999999902,500.56216620915086,60.44596763421227,1.9726160080082733,14374.4,1517.6995164465932,31426.4,2284.307247285269,16491.62999999991,1117.6987806202462,73.3779712624191,4.240339159826564
30,12342.4,1325.544768513434,40091.1,235.76751731784904,21108.545999999922,188.91297562635071,87.09806029078527,3.3578670657352894,14404.5,2543.747246790757,45638.7,3998.640159131879,23600.35199999992,1869.8493577398094,103.11439855805224,3.596966195375313
40,12789.8,1211.7616010493884,52788.1,77.92368061122227,27531.821999999975,141.80273636286663,113.44901608095537,4.165256013393639,13860.8,1708.2427488178866,57624.9,3830.9152213711714,29933.927999999978,1922.0509337267804,139.85144004444584,12.999549146627276
50,14409.2,1498.7033506779565,65632.2,193.95291524834687,33461.50800000017,134.45126641281985,134.90139418620998,3.3899753029183652,14586.9,1949.2278499731915,73554.3,3080.8446190398286,37617.726000000184,1389.0024911281505,184.50090028337235,16.088650829256387
60,12291.7,1264.8798845037509,78202.2,25.92210553862354,40352.35800000022,313.625594682633,162.67418177598663,7.585846106076643,14443.4,2962.4775742236056,90288.3,10980.929196161456,45682.47000000078,5109.230363743917,207.33519054601624,20.073193047791875
70,13207.1,952.7419436086095,91038.8,139.41448992124117,46222.89600000068,211.0868166418318,184.9148623031145,4.364649354357403,15780.6,3845.7982035231935,111875.3,14966.068095305905,56000.51400000126,7143.39511293945,233.47017246490654,7.279791256424396
80,14176.5,2263.5767787581963,121084.9,14107.885993695552,61733.24400000188,6603.149097042033,218.3086487828893,6.088358672867244,14029.7,1695.2303055599523,116132.7,12586.803963322505,58805.952000001525,5744.813736009668,274.47555749245976,26.340290224357233
90,12607.0,1599.7887360523575,116482.9,228.30946347252237,59505.34200000162,207.98154543149477,236.21535950165034,8.883638338462482,14235.1,1632.5065560528558,132622.8,8137.721272635913,66811.73400000215,3944.025293271394,293.46530286265227,18.74108359666118
