distance,rounds,n_samples_ours,swaps_mean_ours,swaps_std_ours,depth_mean_ours,depth_std_ours,latency_mean_ours,latency_std_ours,error_mean_ours,error_std_ours,time_mean_ours,time_std_ours,n_samples_sabre,swaps_mean_sabre,swaps_std_sabre,depth_mean_sabre,depth_std_sabre,latency_mean_sabre,latency_std_sabre,error_mean_sabre,error_std_sabre,time_mean_sabre,time_std_sabre
3,3,9,844.0,0.0,391.8888888888889,16.203185176888624,226.91333333333336,10.66326195662265,1.9137033476995151,0.004065463432792336,0.1593827777777778,0.008377951589708922,9,1360.0,43.20493798938573,562.0,14.142135623730951,355.11999999999983,11.02361102361647,2.8431774495870386,0.10640001091190969,0.005755222222222222,0.0003075735784699973
3,5,9,850.6666666666666,9.428090415820634,395.0,17.31409188429407,228.9666666666667,11.55901187626155,1.9250642616616949,0.014689403828484259,0.1603861111111111,0.010684075901852396,9,1360.0,43.20493798938573,562.0,14.142135623730951,355.11999999999983,11.02361102361647,2.843183912875802,0.1064000110233011,0.00588011111111111,0.001020284758121144
3,10,9,848.4444444444445,8.31479419283098,392.44444444444446,16.714006841310017,227.41333333333338,11.009587740793135,1.9215490294224595,0.01389821355960077,0.16488288888888888,0.027528997222905985,9,1360.0,43.20493798938573,562.0,14.142135623730951,355.11999999999983,11.02361102361647,2.8431774173572615,0.10640001085274876,0.007383222222222222,0.004416667516422001
3,15,9,848.4444444444445,8.31479419283098,399.1111111111111,19.063895162464362,231.7466666666667,12.63968705660425,1.9235484034869685,0.013714544853372057,0.15054266666666669,0.00709159491542237,9,1360.0,43.20493798938573,562.0,14.142135623730951,355.11999999999983,11.02361102361647,2.8431730074110226,0.10640001149455769,0.005808555555555556,0.00037407310964305456
3,20,9,850.6666666666666,13.333333333333332,394.44444444444446,15.621289682930302,229.60000000000005,10.555643040573141,1.9265167475532285,0.02320584140272131,0.161586,0.011249299267065482,9,1360.0,43.20493798938573,562.0,14.142135623730951,355.11999999999983,11.02361102361647,2.8431762977906607,0.10640001113975266,0.006108555555555556,0.0005497144937977879
5,3,9,4316.222222222223,8.966329334147561,810.0,35.264083081168515,495.5999999999992,16.1583662540492,3.7949347929115285,0.013757328774702886,5.376454333333332,0.7574541619914846,9,4886.666666666667,104.98677165349082,1132.0,40.824829046386306,711.119999999998,28.953756233000078,4.4714343523279,0.20847558226951995,0.017555,0.0018825804394795756
5,5,9,4323.666666666667,8.743251365736,799.6666666666666,36.96244340167763,491.3799999999993,14.426586567861325,3.798161163390778,0.012244410016260096,6.077111444444444,0.9936695430201142,9,4886.666666666667,104.98677165349082,1132.0,40.824829046386306,711.119999999998,28.953756233000078,4.471456088018343,0.2084761083527303,0.016820666666666664,0.000925781111638527
5,10,9,4319.111111111111,8.438594464910011,789.8888888888889,46.15058551318582,488.8599999999993,18.58730749732179,3.793175739906841,0.009713208070651359,4.8509007777777775,0.12632447426262403,9,4886.666666666667,104.98677165349082,1132.0,40.824829046386306,711.119999999998,28.953756233000078,4.471418792085503,0.20847520864686106,0.01654911111111111,0.001383214729409111
5,15,9,4316.333333333333,9.092121131323903,810.8888888888889,25.804583763546287,494.6533333333325,9.856968206412189,3.7958060107273273,0.012096246722871025,4.874449222222222,0.0662616476667022,9,4886.666666666667,104.98677165349082,1132.0,40.824829046386306,711.119999999998,28.953756233000078,4.471435128857023,0.20847560098909837,0.016617111111111114,0.002022985332206091
5,20,9,4323.333333333333,8.082903768654761,818.6666666666666,11.274356350191843,499.1866666666659,5.252791850266107,3.796325539271991,0.006712661411273576,4.941029444444445,0.16482186079327585,9,4886.666666666667,104.98677165349082,1132.0,40.824829046386306,711.119999999998,28.953756233000078,4.471428881702215,0.2084754497015568,0.016128777777777777,0.001093289407428363
7,3,9,8279.444444444445,65.88055034363516,893.8888888888889,37.94570520111435,556.7399999999989,29.15957475684428,5.047046200864809,0.053497931305249956,778.0233906666667,2018.264535215315,9,13386.666666666666,216.84607956387458,2192.0,134.41230102437302,1414.5199999999945,89.63436840855135,7.712064838677758,0.30391174676108135,0.04024211111111112,0.0027444649931754332
7,5,9,8278.888888888889,44.34822918785783,905.8888888888889,36.52531677387753,562.7022222222212,27.310480600261798,5.039708817041966,0.028727276258906274,168.24239466666666,304.0555157609727,9,13386.666666666666,216.84607956387458,2192.0,134.41230102437302,1414.5199999999945,89.63436840855135,7.712045981439559,0.3039114249001,0.040575,0.0035237136344739746
7,10,9,8259.0,61.88519837390665,925.3333333333334,75.02592144645001,573.0688888888877,49.786154354720686,5.034648168523656,0.03648474310271952,49.330201555555554,1.077215996487563,9,13386.666666666666,216.84607956387458,2192.0,134.41230102437302,1414.5199999999945,89.63436840855135,7.712036087379078,0.3039112552073618,0.04106477777777778,0.0035198091418515488
7,15,9,8252.666666666666,45.70436400267363,900.1111111111111,53.384234968854585,559.1622222222212,41.3343079932873,5.042789197736635,0.025704618929979935,46.383717,2.3479054544250464,9,13386.666666666666,216.84607956387458,2192.0,134.41230102437302,1414.5199999999945,89.63436840855135,7.7120401971770765,0.3039113259433858,0.03871555555555556,0.002264243514147281
7,20,9,8284.666666666666,86.83701207818396,917.6666666666666,62.93559317976505,568.1288888888879,40.365139097010065,5.059038454698366,0.05015595553038001,47.80168311111111,1.8725227295642544,9,13386.666666666666,216.84607956387458,2192.0,134.41230102437302,1414.5199999999945,89.63436840855135,7.712042840372137,0.30391137086314535,0.03851233333333333,0.0019097066092291074
